            angle	Ex=0.000(d5/2)(d:DCV,p:Vamer)	Ex=0.000(d5/2)(d:DCV,p:KD)	Ex=0.000(d5/2)(d:HSS,p:KD)	Ex=0.120(s1/2)(d:DCV,p:Vamer)	Ex=0.120(s1/2)(d:DCV,p:KD)	Ex=0.120(s1/2)(d:HSS,p:KD)	Ex=0.298(d5/2)(d:DCV,p:Vamer)	Ex=0.298(d5/2)(d:DCV,p:KD)	Ex=0.298(d5/2)(d:HSS,p:KD)	Ex=0.397(s1/2)(d:DCV,p:Vamer)	Ex=0.397(s1/2)(d:DCV,p:KD)	Ex=0.397(s1/2)(d:HSS,p:KD)	
              0.00          4.872300          4.763200          3.254700          0.567420          0.662950          0.905280          7.152000          6.981200          4.804000          1.966200          2.182700          3.164500
              1.00          4.871500          4.764500          3.267500          0.558730          0.653470          0.894570          7.147200          6.979500          4.819400          1.938600          2.153300          3.125800
              2.00          4.867900          4.767300          3.304500          0.533450          0.625890          0.863270          7.131600          6.972900          4.863200          1.857800          2.067400          3.012600
              3.00          4.858300          4.767900          3.361100          0.493920          0.582680          0.813730          7.101000          6.956800          4.929300          1.729800          1.931400          2.832700
              4.00          4.837900          4.761000          3.430400          0.443640          0.527550          0.749600          7.049500          6.924700          5.008500          1.564300          1.755400          2.598300
              5.00          4.801000          4.740500          3.504100          0.386780          0.464980          0.675360          6.970400          6.869100          5.089800          1.372800          1.551700          2.324500
              6.00          4.742200          4.700200          3.573400          0.327680          0.399640          0.595880          6.857400          6.782600          5.161400          1.168100          1.333900          2.028300
              7.00          4.656900          4.634800          3.630000          0.270370          0.335940          0.515930          6.705300          6.659100          5.213100          0.963040          1.115500          1.726600
              8.00          4.542100          4.540700          3.666900          0.218180          0.277570          0.439750          6.511400          6.494900          5.236100          0.769100          0.908870          1.435300
              9.00          4.396600          4.416000          3.678900          0.173570          0.227320          0.370760          6.275400          6.288800          5.224500          0.595850          0.724130          1.167800
             10.00          4.221400          4.261200          3.663000          0.138030          0.186950          0.311430          5.999600          6.042300          5.175200          0.450330          0.568860          0.934640
             11.00          4.019200          4.078500          3.618200          0.112100          0.157210          0.263160          5.688700          5.759600          5.088000          0.336860          0.447830          0.742940
             12.00          3.794300          3.872000          3.545700          0.095555          0.137980          0.226420          5.349300          5.446700          4.964800          0.257180          0.363020          0.596540
             13.00          3.552000          3.646800          3.448000          0.087547          0.128440          0.200880          4.989200          5.111300          4.809800          0.210650          0.313960          0.496150
             14.00          3.298600          3.409100          3.329200          0.086819          0.127280          0.185580          4.617100          4.761700          4.628600          0.194760          0.298130          0.439800
             15.00          3.040500          3.165100          3.194000          0.091899          0.132940          0.179180          4.241800          4.406600          4.427400          0.205600          0.311480          0.423400
             16.00          2.784100          2.921400          3.047800          0.101270          0.143720          0.180120          3.871900          4.054700          4.213500          0.238360          0.348890          0.441250
             17.00          2.535600          2.684000          2.895700          0.113500          0.158010          0.186750          3.515200          3.713900          3.993700          0.287780          0.404720          0.486630
             18.00          2.300200          2.458600          2.743200          0.127310          0.174320          0.197510          3.179000          3.391600          3.774800          0.348510          0.473100          0.552210
             19.00          2.082700          2.249700          2.594700          0.141640          0.191380          0.210960          2.869100          3.093900          3.563000          0.415430          0.548340          0.630550
             20.00          1.886600          2.061200          2.454400          0.155670          0.208150          0.225810          2.590400          2.825600          3.363300          0.483860          0.625130          0.714430
             21.00          1.714500          1.895600          2.325300          0.168740          0.223810          0.240990          2.346100          2.590100          3.179900          0.549670          0.698730          0.797200
             22.00          1.567500          1.754200          2.209400          0.180430          0.237740          0.255570          2.137800          2.389400          3.015500          0.609360          0.765090          0.872980
             23.00          1.446000          1.637400          2.107800          0.190420          0.249510          0.268790          1.965600          2.223500          2.871500          0.660120          0.820920          0.936910
             24.00          1.348900          1.544200          2.020500          0.198530          0.258820          0.280050          1.828200          2.091200          2.747900          0.699830          0.863700          0.985260
             25.00          1.274200          1.472500          1.946500          0.204620          0.265460          0.288820          1.722600          1.989500          2.643100          0.727020          0.891730          1.015500
             26.00          1.219000          1.419700          1.884100          0.208640          0.269310          0.294720          1.644800          1.914600          2.554900          0.740870          0.904070          1.026400
             27.00          1.180100          1.382200          1.830900          0.210520          0.270310          0.297420          1.590000          1.861500          2.479900          0.741150          0.900530          1.017900
             28.00          1.153700          1.356400          1.784300          0.210240          0.268430          0.296710          1.552800          1.824900          2.414400          0.728200          0.881630          0.990960
             29.00          1.136000          1.338400          1.741600          0.207780          0.263670          0.292460          1.527900          1.799400          2.354700          0.702900          0.848480          0.947420
             30.00          1.123400          1.324700          1.700200          0.203110          0.256080          0.284630          1.510100          1.779900          2.297000          0.666540          0.802740          0.889860
             31.00          1.112700          1.312100          1.657900          0.196270          0.245780          0.273330          1.495000          1.761900          2.238200          0.620830          0.746520          0.821310
             32.00          1.101400          1.297900          1.612800          0.187310          0.232930          0.258780          1.478800          1.741800          2.175800          0.567760          0.682220          0.744960
             33.00          1.087300          1.280200          1.563800          0.176370          0.217780          0.241340          1.458800          1.716700          2.108200          0.509530          0.612450          0.664030
             34.00          1.069100          1.257600          1.510100          0.163630          0.200670          0.221510          1.433200          1.684900          2.034400          0.448410          0.539850          0.581560
             35.00          1.046000          1.229400          1.451600          0.149400          0.182040          0.199870          1.400900          1.645600          1.954200          0.386690          0.467010          0.500240
             36.00          1.017800          1.195400          1.388500          0.134060          0.162400          0.177120          1.361700          1.598600          1.868000          0.326470          0.396300          0.422380
             37.00          0.984610          1.155900          1.321400          0.118050          0.142330          0.153990          1.316000          1.544400          1.776700          0.269670          0.329800          0.349860
             38.00          0.946970          1.111600          1.251300          0.101880          0.122430          0.131210          1.264500          1.483900          1.681400          0.217850          0.269210          0.284100
             39.00          0.905580          1.063300          1.178900          0.086084          0.103310          0.109470          1.208200          1.418300          1.583400          0.172190          0.215770          0.226140
             40.00          0.861290          1.011800          1.105300          0.071176          0.085537          0.089346          1.148300          1.348700          1.484100          0.133470          0.170300          0.176640
             41.00          0.814980          0.958250          1.031600          0.057608          0.069570          0.071323          1.086000          1.276600          1.384700          0.102040          0.133150          0.135960
             42.00          0.767520          0.903510          0.958690          0.045746          0.055769          0.055721          1.022200          1.203100          1.286500          0.077886          0.104300          0.104180
             43.00          0.719750          0.848510          0.887350          0.035837          0.044349          0.042716          0.958190          1.129400          1.190600          0.060641          0.083363          0.081108
             44.00          0.672420          0.794070          0.818350          0.027998          0.035386          0.032341          0.894820          1.056600          1.097900          0.049695          0.069717          0.066338
             45.00          0.626180          0.740900          0.752310          0.022217          0.028815          0.024507          0.832960          0.985430          1.009200          0.044260          0.062533          0.059219
             46.00          0.581610          0.689610          0.689730          0.018365          0.024458          0.019028          0.773340          0.916840          0.925120          0.043447          0.060873          0.058873
             47.00          0.539150          0.640670          0.630990          0.016222          0.022050          0.015655          0.716560          0.851420          0.846220          0.046335          0.063741          0.064209
             48.00          0.499130          0.594450          0.576330          0.015505          0.021268          0.014096          0.663070          0.789650          0.772810          0.052024          0.070131          0.073946
             49.00          0.461770          0.551160          0.525870          0.015900          0.021766          0.014047          0.613170          0.731840          0.705060          0.059661          0.079051          0.086660
             50.00          0.427160          0.510910          0.479620          0.017093          0.023200          0.015197          0.567010          0.678150          0.642990          0.068461          0.089545          0.100850
             51.00          0.395300          0.473700          0.437470          0.018791          0.025253          0.017248          0.524570          0.628580          0.586470          0.077705          0.100700          0.115030
             52.00          0.366090          0.439420          0.399240          0.020739          0.027638          0.019910          0.485730          0.582960          0.535250          0.086734          0.111650          0.127790
             53.00          0.339350          0.407880          0.364660          0.022727          0.030112          0.022905          0.450220          0.541050          0.488950          0.094947          0.121600          0.137930
             54.00          0.314860          0.378840          0.333400          0.024586          0.032469          0.025971          0.417720          0.502490          0.447150          0.101800          0.129810          0.144530
             55.00          0.292360          0.352030          0.305140          0.026192          0.034541          0.028861          0.387880          0.466900          0.409350          0.106830          0.135690          0.146990
             56.00          0.271600          0.327190          0.279510          0.027451          0.036189          0.031351          0.360330          0.433900          0.375100          0.109640          0.138750          0.145100
             57.00          0.252350          0.304050          0.256190          0.028296          0.037303          0.033248          0.334750          0.403120          0.343920          0.109970          0.138690          0.139020
             58.00          0.234380          0.282390          0.234880          0.028679          0.037802          0.034404          0.310830          0.374260          0.315410          0.107710          0.135430          0.129260
             59.00          0.217530          0.262010          0.215320          0.028574          0.037633          0.034724          0.288370          0.347070          0.289210          0.102920          0.129070          0.116600
