            angle	Ex=0.000(d:DCV,3He:XGHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:XGHS)	Ex=0.740(d:DCV,3He:XGHS)	Ex=0.740(d:DCV,3He:LLC)	Ex=0.740(d:HSS,3He:XGHS)	Ex=4.780(d:DCV,3He:XGHS)	Ex=4.780(d:DCV,3He:LLC)	Ex=4.780(d:HSS,3He:XGHS)	Ex=5.833(d:DCV,3He:XGHS)	Ex=5.833(d:DCV,3He:LLC)	Ex=5.833(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	Ex=6.358(d:DCV,3He:XGHS)	Ex=6.358(d:DCV,3He:LLC)	Ex=6.358(d:HSS,3He:XGHS)	
             19.00          0.158840          0.297480          0.159770          0.154270          0.301980          0.145880          0.133690          0.322460          0.093121          0.128770          0.326820          0.084077          0.126400          0.328710          0.080243          0.126400          0.328710          0.080243          0.126940          0.328310          0.081082
             19.50          0.167490          0.301020          0.172250          0.163690          0.306560          0.159070          0.144360          0.329630          0.106010          0.139240          0.334130          0.096169          0.136690          0.336020          0.091865          0.136690          0.336020          0.091865          0.137270          0.335620          0.092815
             20.00          0.173470          0.301560          0.181690          0.170630          0.308360          0.169480          0.153730          0.335420          0.117660          0.148720          0.340450          0.107400          0.146150          0.342520          0.102810          0.146150          0.342520          0.102810          0.146740          0.342080          0.103830
             20.50          0.176390          0.298620          0.187680          0.174610          0.306830          0.176610          0.161110          0.339050          0.127360          0.156520          0.344960          0.117060          0.154090          0.347380          0.112370          0.154090          0.347380          0.112370          0.154650          0.346860          0.113410
             21.00          0.176070          0.292000          0.190040          0.175410          0.301680          0.180220          0.166020          0.339910          0.134620          0.162130          0.347030          0.124620          0.159980          0.349970          0.119990          0.159980          0.349970          0.119990          0.160480          0.349340          0.121030
             21.50          0.172590          0.281760          0.188840          0.173000          0.292870          0.180300          0.168190          0.337680          0.139130          0.165230          0.346260          0.129740          0.163480          0.349860          0.125340          0.163480          0.349860          0.125340          0.163900          0.349080          0.126320
             22.00          0.166180          0.268150          0.184360          0.167590          0.280600          0.177060          0.167530          0.332180          0.140810          0.165660          0.342430          0.132260          0.164420          0.346820          0.128210          0.164420          0.346820          0.128210          0.164730          0.345860          0.129120
             22.50          0.157250          0.251620          0.177010          0.159500          0.265240          0.170860          0.164100          0.323480          0.139720          0.163450          0.335510          0.132200          0.162780          0.340760          0.128610          0.162780          0.340760          0.128610          0.162950          0.339610          0.129410
             23.00          0.146260          0.232730          0.167320          0.149190          0.247290          0.162190          0.158130          0.311760          0.136070          0.158730          0.325630          0.129690          0.158680          0.331780          0.126620          0.158680          0.331780          0.126620          0.158710          0.330420          0.127310
             23.50          0.133790          0.212110          0.155900          0.137180          0.227360          0.151610          0.149930          0.297380          0.130200          0.151760          0.313040          0.124990          0.152330          0.320100          0.122490          0.152330          0.320100          0.122490          0.152220          0.318540          0.123050
