            angle	Ex=0.000(1g9/2)AK	Ex=0.000(3s1/2)AK	Ex=0.000(2d5/2)AK	
              0.00          0.406120          0.048278          4.310100
              0.50          0.406100          0.048834          4.311400
              1.00          0.406030          0.050526          4.315500
              1.50          0.405930          0.053429          4.322300
              2.00          0.405830          0.057662          4.331600
              2.50          0.405750          0.063391          4.343100
              3.00          0.405730          0.070824          4.356800
              3.50          0.405820          0.080201          4.372200
              4.00          0.406090          0.091796          4.389100
              4.50          0.406590          0.105910          4.407100
              5.00          0.407390          0.122860          4.425700
              5.50          0.408580          0.142980          4.444500
              6.00          0.410250          0.166620          4.463100
              6.50          0.412470          0.194130          4.481000
              7.00          0.415370          0.225850          4.497600
              7.50          0.419020          0.262130          4.512600
              8.00          0.423550          0.303320          4.525400
              8.50          0.429070          0.349730          4.535600
              9.00          0.435680          0.401680          4.542800
              9.50          0.443510          0.459470          4.546600
             10.00          0.452670          0.523380          4.546700
             10.50          0.463280          0.593670          4.542900
             11.00          0.475440          0.670570          4.534900
             11.50          0.489280          0.754280          4.522700
             12.00          0.504900          0.844960          4.506200
             12.50          0.522410          0.942730          4.485400
             13.00          0.541880          1.047700          4.460600
             13.50          0.563430          1.159800          4.431800
             14.00          0.587110          1.279000          4.399500
             14.50          0.612990          1.405200          4.364000
             15.00          0.641130          1.538200          4.325700
             15.50          0.671550          1.677600          4.285200
             16.00          0.704300          1.823100          4.243000
             16.50          0.739360          1.974100          4.199800
             17.00          0.776720          2.130000          4.156200
             17.50          0.816370          2.289900          4.112900
             18.00          0.858240          2.453000          4.070500
             18.50          0.902280          2.618200          4.029900
             19.00          0.948390          2.784400          3.991600
             19.50          0.996490          2.950400          3.956500
             20.00          1.046400          3.114700          3.925200
             20.50          1.098100          3.275900          3.898300
             21.00          1.151400          3.432500          3.876500
             21.50          1.206000          3.582900          3.860300
             22.00          1.261900          3.725500          3.850400
             22.50          1.318900          3.858700          3.847200
             23.00          1.376700          3.981000          3.851200
             23.50          1.435200          4.090800          3.862900
             24.00          1.494100          4.186700          3.882500
             24.50          1.553300          4.267400          3.910600
             25.00          1.612600          4.331900          3.947200
             25.50          1.671700          4.379100          3.992800
             26.00          1.730400          4.408300          4.047400
             26.50          1.788700          4.419100          4.111200
             27.00          1.846200          4.411000          4.184300
             27.50          1.902800          4.384300          4.266700
             28.00          1.958300          4.339000          4.358300
             28.50          2.012700          4.275800          4.459000
             29.00          2.065600          4.195500          4.568600
             29.50          2.117100          4.099100          4.686900
             30.00          2.167000          3.988000          4.813500
             30.50          2.215100          3.863700          4.947900
             31.00          2.261400          3.728100          5.089700
             31.50          2.305800          3.583000          5.238100
             32.00          2.348300          3.430800          5.392600
             32.50          2.388700          3.273500          5.552200
             33.00          2.427100          3.113600          5.716200
             33.50          2.463500          2.953500          5.883500
             34.00          2.497700          2.795600          6.053100
             34.50          2.529900          2.642300          6.224000
             35.00          2.560000          2.495900          6.394800
             35.50          2.588100          2.358800          6.564500
             36.00          2.614200          2.233100          6.731800
             36.50          2.638300          2.120700          6.895500
             37.00          2.660600          2.023500          7.054300
             37.50          2.681000          1.943000          7.206900
             38.00          2.699600          1.880600          7.352300
             38.50          2.716600          1.837300          7.489300
             39.00          2.732000          1.814100          7.616700
             39.50          2.745900          1.811500          7.733700
             40.00          2.758400          1.829700          7.839400
             40.50          2.769600          1.868800          7.932900
             41.00          2.779600          1.928600          8.013800
             41.50          2.788400          2.008400          8.081400
             42.00          2.796300          2.107500          8.135500
             42.50          2.803300          2.224800          8.175900
             43.00          2.809400          2.359100          8.202500
             43.50          2.814900          2.509000          8.215500
             44.00          2.819600          2.672700          8.215000
             44.50          2.823800          2.848400          8.201600
             45.00          2.827500          3.034300          8.175700
             45.50          2.830800          3.228200          8.138000
             46.00          2.833600          3.428100          8.089400
             46.50          2.836100          3.631700          8.030700
             47.00          2.838300          3.836900          7.962800
             47.50          2.840200          4.041500          7.887000
             48.00          2.841800          4.243400          7.804100
             48.50          2.843100          4.440300          7.715500
             49.00          2.844200          4.630500          7.622300
             49.50          2.845000          4.811900          7.525700
