#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
#206Hg(d,p)207Hg(5/2+ 2.340) ELAB= 14.780
   Angel	  Ex=2.340(2d5/2)AK  Ex=2.340(2d5/2)QV  Ex=2.340(2d5/2)AM  Ex=2.340(2d5/2)AG  Ex=2.340(2d5/2)AP  Ex=2.340(2d5/2)HK  Ex=2.340(2d5/2)HV  Ex=2.340(2d5/2)HM  Ex=2.340(2d5/2)HG  Ex=2.340(2d5/2)HP  Ex=2.340(2d5/2)BK  Ex=2.340(2d5/2)BV  Ex=2.340(2d5/2)BM  Ex=2.340(2d5/2)BG  Ex=2.340(2d5/2)BP  Ex=2.340(2d5/2)DK  Ex=2.340(2d5/2)DV  Ex=2.340(2d5/2)DM  Ex=2.340(2d5/2)DG  Ex=2.340(2d5/2)DP  Ex=2.340(2d5/2)LK  Ex=2.340(2d5/2)LV  Ex=2.340(2d5/2)LM  Ex=2.340(2d5/2)LG  Ex=2.340(2d5/2)LP  Ex=2.340(2d5/2)QK  Ex=2.340(2d5/2)QV  Ex=2.340(2d5/2)QM  Ex=2.340(2d5/2)QG  Ex=2.340(2d5/2)QP
   0.500	           1.309000           0.449430           0.541060           5.949800           1.867400           2.007500           1.417000           0.742360           9.180600           2.939100           1.049800           0.709120           0.584890           4.560300           1.433200           1.042100           0.635430           0.465760           4.861100           1.473200           0.449520           0.360890           0.029696           5.882500           0.968840           0.673680           0.449430           0.215230           5.283900           1.143200
   1.000	           1.322200           0.457780           0.552210           5.968800           1.882500           2.022600           1.430800           0.755670           9.200000           2.955800           1.061100           0.720070           0.596020           4.577500           1.445900           1.054100           0.646110           0.475590           4.878600           1.486900           0.457750           0.368000           0.036787           5.893900           0.978340           0.682920           0.457780           0.224200           5.295400           1.153500
   1.500	           1.344300           0.471810           0.570830           6.000300           1.907600           2.047700           1.453900           0.777900           9.232200           2.983600           1.079900           0.738370           0.614610           4.606200           1.467100           1.074100           0.663960           0.492010           4.907700           1.509900           0.471580           0.380020           0.048755           5.913000           0.994290           0.698390           0.471810           0.239240           5.314500           1.170600
   2.000	           1.375200           0.491670           0.596990           6.044600           1.942700           2.082900           1.486200           0.809090           9.277400           3.022500           1.106400           0.764060           0.640700           4.646400           1.496700           1.102200           0.689060           0.515130           4.948600           1.542000           0.491180           0.397150           0.065815           5.940100           1.016800           0.720210           0.491670           0.260500           5.341700           1.194700
   2.500	           1.414900           0.517570           0.630770           6.101600           1.987700           2.128000           1.527800           0.849300           9.335500           3.072400           1.140400           0.797200           0.674360           4.698100           1.534700           1.138200           0.721480           0.545040           5.001300           1.583300           0.516780           0.419690           0.088246           5.975500           1.046200           0.748540           0.517570           0.288140           5.377100           1.226000
   3.000	           1.463400           0.549730           0.672220           6.171200           2.042500           2.183100           1.578900           0.898570           9.406500           3.133200           1.181900           0.837830           0.715620           4.761200           1.581100           1.182300           0.761320           0.581830           5.065800           1.633700           0.548610           0.447960           0.116380           6.019600           1.082600           0.783500           0.549730           0.322370           5.420900           1.264500
   3.500	           1.520500           0.588370           0.721390           6.253500           2.107100           2.248000           1.639200           0.956910           9.490500           3.204700           1.230900           0.885960           0.764500           4.835700           1.635700           1.234400           0.808610           0.625580           5.142200           1.693100           0.586940           0.482330           0.150560           6.072700           1.126300           0.825260           0.588370           0.363390           5.473600           1.310500
   4.000	           1.586100           0.633720           0.778270           6.348200           2.181100           2.322400           1.708800           1.024300           9.587100           3.286600           1.287300           0.941560           0.820970           4.921500           1.698400           1.294300           0.863360           0.676330           5.230500           1.761400           0.631990           0.523150           0.191170           6.135300           1.177400           0.873900           0.633720           0.411360           5.535200           1.363800
   4.500	           1.659900           0.685920           0.842770           6.455200           2.264200           2.406100           1.787500           1.100600           9.696100           3.378600           1.350700           1.004500           0.884930           5.018200           1.768800           1.361800           0.925500           0.734060           5.330300           1.838100           0.683980           0.570760           0.238520           6.207600           1.236200           0.929490           0.685920           0.466440           5.606100           1.424700
   5.000	           1.741600           0.745080           0.914760           6.574000           2.356000           2.498600           1.875100           1.185600           9.817100           3.480100           1.421000           1.074600           0.956210           5.125400           1.846600           1.436700           0.994890           0.798670           5.441600           1.923000           0.743030           0.625440           0.292930           6.289900           1.302800           0.991990           0.745080           0.528670           5.686400           1.492900
