            angle	Ex=2.530(1g9/2)AK	Ex=2.530(3s1/2)AK	Ex=2.530(2d5/2)AK	
              0.00          0.160180          5.103200          0.518170
              0.50          0.160230          5.081000          0.521940
              1.00          0.160390          5.014700          0.533280
              1.50          0.160670          4.906000          0.552320
              2.00          0.161100          4.757200          0.579240
              2.50          0.161700          4.571800          0.614290
              3.00          0.162530          4.354000          0.657730
              3.50          0.163640          4.108400          0.709820
              4.00          0.165080          3.840300          0.770800
              4.50          0.166930          3.555300          0.840820
              5.00          0.169270          3.259100          0.919960
              5.50          0.172200          2.957400          1.008100
              6.00          0.175800          2.655700          1.105100
              6.50          0.180200          2.359200          1.210600
              7.00          0.185500          2.072500          1.323900
              7.50          0.191860          1.799700          1.444300
              8.00          0.199390          1.544300          1.570900
              8.50          0.208260          1.308800          1.702500
              9.00          0.218620          1.095300          1.837900
              9.50          0.230650          0.904770          1.975900
             10.00          0.244520          0.737690          2.114800
             10.50          0.260430          0.593730          2.253300
             11.00          0.278560          0.471990          2.389900
             11.50          0.299130          0.371060          2.523200
             12.00          0.322330          0.289100          2.652000
             12.50          0.348370          0.224000          2.775100
             13.00          0.377480          0.173460          2.891500
             13.50          0.409840          0.135150          3.000600
             14.00          0.445670          0.106780          3.101800
             14.50          0.485170          0.086251          3.195100
             15.00          0.528510          0.071684          3.280400
             15.50          0.575870          0.061534          3.358100
             16.00          0.627390          0.054620          3.428800
             16.50          0.683220          0.050158          3.493300
             17.00          0.743470          0.047762          3.552800
             17.50          0.808210          0.047439          3.608400
             18.00          0.877510          0.049552          3.661600
             18.50          0.951380          0.054775          3.713700
             19.00          1.029800          0.064029          3.766300
             19.50          1.112800          0.078410          3.820900
             20.00          1.200200          0.099116          3.879000
             20.50          1.292000          0.127360          3.941900
             21.00          1.388100          0.164310          4.010800
             21.50          1.488100          0.210970          4.087000
             22.00          1.592100          0.268170          4.171300
             22.50          1.699600          0.336470          4.264500
             23.00          1.810600          0.416140          4.367100
             23.50          1.924700          0.507100          4.479600
             24.00          2.041700          0.608960          4.602100
             24.50          2.161300          0.720950          4.734700
             25.00          2.283100          0.842000          4.877300
             25.50          2.406800          0.970720          5.029600
             26.00          2.532200          1.105500          5.191300
             26.50          2.658900          1.244400          5.362100
             27.00          2.786700          1.385500          5.541600
             27.50          2.915100          1.526700          5.729200
             28.00          3.044000          1.665900          5.924600
             28.50          3.173000          1.800900          6.127500
             29.00          3.301900          1.929900          6.337500
             29.50          3.430500          2.050900          6.554400
             30.00          3.558300          2.162500          6.777900
             30.50          3.685300          2.263300          7.008000
             31.00          3.811200          2.352200          7.244500
             31.50          3.935800          2.428500          7.487600
             32.00          4.058900          2.491900          7.737100
             32.50          4.180400          2.542200          7.993100
             33.00          4.300000          2.579700          8.255800
             33.50          4.417600          2.605100          8.525000
             34.00          4.533100          2.619200          8.800800
             34.50          4.646300          2.623100          9.083000
             35.00          4.757200          2.618300          9.371500
             35.50          4.865600          2.606300          9.666000
             36.00          4.971400          2.588800          9.966000
             36.50          5.074500          2.567600         10.271000
             37.00          5.174900          2.544700         10.580000
             37.50          5.272500          2.521700         10.893000
             38.00          5.367300          2.500700         11.209000
             38.50          5.459200          2.483300         11.525000
             39.00          5.548200          2.471200         11.843000
             39.50          5.634200          2.466000         12.159000
             40.00          5.717300          2.469100         12.472000
             40.50          5.797500          2.481500         12.782000
             41.00          5.874800          2.504400         13.087000
             41.50          5.949200          2.538500         13.384000
             42.00          6.020800          2.584300         13.674000
             42.50          6.089700          2.642300         13.953000
             43.00          6.155800          2.712500         14.222000
             43.50          6.219200          2.795000         14.478000
             44.00          6.280100          2.889400         14.721000
             44.50          6.338400          2.995200         14.949000
             45.00          6.394300          3.112000         15.162000
             45.50          6.447900          3.238800         15.358000
             46.00          6.499200          3.374900         15.537000
             46.50          6.548300          3.519100         15.699000
             47.00          6.595300          3.670300         15.844000
             47.50          6.640300          3.827300         15.970000
             48.00          6.683300          3.988800         16.079000
             48.50          6.724300          4.153500         16.171000
             49.00          6.763400          4.320000         16.245000
             49.50          6.800700          4.487100         16.303000
