            angle	Ex=0.500(3s1/2)HSS,KD	Ex=0.500(3s1/2)AC,KD	Ex=0.500(3s1/2)Boj,KD	Ex=0.500(3s1/2)DCV,KD	Ex=0.500(3s1/2)LH,KD	Ex=0.500(3s1/2)Perey,KD	
              0.00          0.175420          0.195350          0.192420          0.234090          0.068446          0.255130
              0.50          0.175290          0.195200          0.193730          0.234320          0.068361          0.256310
              1.00          0.174960          0.194790          0.197680          0.235030          0.068122          0.259870
              1.50          0.174520          0.194250          0.204340          0.236330          0.067774          0.265810
              2.00          0.174160          0.193770          0.213800          0.238410          0.067392          0.274180
              2.50          0.174140          0.193630          0.226200          0.241490          0.067075          0.285020
              3.00          0.174760          0.194170          0.241710          0.245870          0.066942          0.298370
              3.50          0.176390          0.195770          0.260510          0.251890          0.067126          0.314280
              4.00          0.179440          0.198870          0.282800          0.259910          0.067771          0.332800
              4.50          0.184360          0.203930          0.308800          0.270320          0.069021          0.353970
              5.00          0.191620          0.211450          0.338700          0.283540          0.071020          0.377830
              5.50          0.201710          0.221920          0.372710          0.299970          0.073903          0.404390
              6.00          0.215160          0.235840          0.411000          0.319990          0.077796          0.433670
              6.50          0.232460          0.253690          0.453740          0.343990          0.082811          0.465640
              7.00          0.254140          0.275930          0.501050          0.372290          0.089046          0.500300
              7.50          0.280680          0.303010          0.553050          0.405230          0.096587          0.537610
              8.00          0.312600          0.335330          0.609790          0.443050          0.105510          0.577520
              8.50          0.350350          0.373240          0.671320          0.486000          0.115880          0.619980
              9.00          0.394400          0.417090          0.737650          0.534240          0.127770          0.664960
              9.50          0.445180          0.467140          0.808740          0.587930          0.141250          0.712410
             10.00          0.503120          0.523650          0.884540          0.647160          0.156400          0.762290
             10.50          0.568600          0.586800          0.964970          0.711970          0.173340          0.814590
             11.00          0.641990          0.656760          1.049900          0.782390          0.192180          0.869320
             11.50          0.723630          0.733630          1.139300          0.858390          0.213090          0.926510
             12.00          0.813810          0.817480          1.232800          0.939920          0.236250          0.986210
             12.50          0.912800          0.908350          1.330500          1.026900          0.261910          1.048500
             13.00          1.020800          1.006200          1.432000          1.119200          0.290320          1.113500
             13.50          1.138000          1.111000          1.537100          1.216600          0.321780          1.181300
             14.00          1.264500          1.222500          1.645600          1.319000          0.356640          1.252100
             14.50          1.400200          1.340700          1.757200          1.426100          0.395230          1.326000
             15.00          1.545100          1.465200          1.871600          1.537700          0.437930          1.403100
             15.50          1.699100          1.595800          1.988400          1.653400          0.485110          1.483600
             16.00          1.861800          1.731900          2.107100          1.772800          0.537120          1.567400
             16.50          2.032800          1.873200          2.227400          1.895500          0.594290          1.654800
             17.00          2.211500          2.019000          2.348500          2.020900          0.656900          1.745600
             17.50          2.397200          2.168700          2.470000          2.148500          0.725200          1.839700
             18.00          2.589000          2.321300          2.591100          2.277500          0.799330          1.937000
             18.50          2.786000          2.476000          2.711000          2.407300          0.879370          2.037200
             19.00          2.986800          2.631800          2.828900          2.536800          0.965300          2.139900
             19.50          3.190100          2.787600          2.943900          2.665300          1.057000          2.244700
             20.00          3.394500          2.942000          3.055000          2.791700          1.154200          2.350900
             20.50          3.598200          3.093800          3.161200          2.914900          1.256500          2.457900
             21.00          3.799400          3.241500          3.261300          3.033800          1.363500          2.564900
             21.50          3.996400          3.383800          3.354500          3.147200          1.474600          2.671100
             22.00          4.187100          3.519000          3.439500          3.253800          1.589100          2.775500
             22.50          4.369500          3.645800          3.515300          3.352500          1.706200          2.877100
             23.00          4.541700          3.762600          3.580900          3.442200          1.825100          2.975100
             23.50          4.701700          3.868000          3.635300          3.521600          1.944800          3.068200
             24.00          4.847400          3.960700          3.677900          3.589700          2.064400          3.155700
             24.50          4.977200          4.039300          3.707800          3.645500          2.183000          3.236500
             25.00          5.089300          4.102800          3.724500          3.688200          2.299400          3.309800
             25.50          5.182300          4.150100          3.727700          3.717200          2.412900          3.374800
             26.00          5.254800          4.180700          3.717100          3.731800          2.522500          3.430900
             26.50          5.305800          4.193800          3.692800          3.731800          2.627400          3.477600
             27.00          5.334500          4.189200          3.655100          3.717000          2.726800          3.514600
             27.50          5.340500          4.167000          3.604500          3.687700          2.820100          3.541600
             28.00          5.323600          4.127100          3.541600          3.644100          2.906800          3.558800
             28.50          5.283900          4.070300          3.467500          3.586800          2.986500          3.566300
             29.00          5.221900          3.997200          3.383400          3.516700          3.059000          3.564700
             29.50          5.138500          3.908800          3.290500          3.434900          3.124100          3.554500
             30.00          5.034700          3.806500          3.190500          3.342600          3.182000          3.536500
             30.50          4.912200          3.691800          3.085200          3.241400          3.232700          3.511600
             31.00          4.772500          3.566500          2.976400          3.132800          3.276600          3.481200
             31.50          4.617700          3.432400          2.866200          3.018800          3.314200          3.446300
             32.00          4.450200          3.291800          2.756600          2.901200          3.345900          3.408400
             32.50          4.272200          3.146800          2.649800          2.782300          3.372300          3.369000
             33.00          4.086500          2.999800          2.547800          2.664100          3.394300          3.329600
             33.50          3.895900          2.853200          2.452900          2.548700          3.412500          3.291700
             34.00          3.703000          2.709500          2.366900          2.438400          3.427700          3.256900
             34.50          3.510900          2.571000          2.291900          2.335200          3.440800          3.226800
             35.00          3.322400          2.440200          2.229600          2.241300          3.452500          3.202700
             35.50          3.140200          2.319300          2.181600          2.158500          3.463700          3.186200
             36.00          2.967300          2.210400          2.149400          2.088700          3.475000          3.178300
             36.50          2.806000          2.115500          2.134100          2.033500          3.487300          3.180300
             37.00          2.658900          2.036500          2.136700          1.994400          3.501100          3.193100
             37.50          2.528300          1.974800          2.157900          1.972500          3.517000          3.217500
             38.00          2.416000          1.931900          2.198100          1.968800          3.535400          3.254200
             38.50          2.323900          1.908700          2.257400          1.984200          3.556700          3.303500
             39.00          2.253400          1.906200          2.335800          2.019000          3.581200          3.365600
             39.50          2.205700          1.924800          2.432700          2.073500          3.609100          3.440500
             40.00          2.181700          1.964800          2.547600          2.147600          3.640400          3.528100
             40.50          2.181900          2.026100          2.679400          2.241100          3.675000          3.627900
             41.00          2.206500          2.108400          2.827200          2.353200          3.712900          3.739300
             41.50          2.255400          2.211000          2.989400          2.483200          3.753800          3.861600
             42.00          2.328200          2.333200          3.164400          2.630100          3.797400          3.993800
             42.50          2.424300          2.473700          3.350700          2.792500          3.843300          4.134800
             43.00          2.542700          2.631200          3.546200          2.968900          3.891100          4.283500
             43.50          2.682000          2.804200          3.748900          3.157800          3.940300          4.438400
             44.00          2.840800          2.990900          3.956800          3.357200          3.990300          4.598200
             44.50          3.017400          3.189400          4.167700          3.565200          4.040500          4.761300
             45.00          3.209800          3.397600          4.379500          3.779900          4.090400          4.926300
             45.50          3.416000          3.613400          4.589900          3.999000          4.139400          5.091600
             46.00          3.633700          3.834500          4.796900          4.220400          4.186800          5.255500
             46.50          3.860600          4.058800          4.998400          4.442000          4.232100          5.416600
             47.00          4.094300          4.283800          5.192300          4.661600          4.274800          5.573400
             47.50          4.332300          4.507400          5.376900          4.877100          4.314400          5.724300
             48.00          4.572200          4.727300          5.550300          5.086400          4.350300          5.868100
             48.50          4.811500          4.941400          5.710900          5.287500          4.382100          6.003300
             49.00          5.047700          5.147400          5.857400          5.478600          4.409500          6.128900
             49.50          5.278600          5.343600          5.988400          5.657900          4.432200          6.243800
