            angle	Ex=0.000(1g9/2)AK	Ex=0.500(1g9/2)AK	Ex=1.000(1g9/2)AK	Ex=1.500(1g9/2)AK	Ex=2.000(1g9/2)AK	Ex=2.500(1g9/2)AK	Ex=3.000(1g9/2)AK	
              0.00          0.406170          0.340280          0.277710          0.226040          0.186920          0.161890          0.149330
              1.00          0.406070          0.340350          0.277950          0.226320          0.187180          0.162080          0.149540
              2.00          0.405860          0.340620          0.278740          0.227260          0.188040          0.162740          0.150260
              3.00          0.405740          0.341300          0.280270          0.229050          0.189720          0.164110          0.151710
              4.00          0.406070          0.342760          0.282900          0.232060          0.192600          0.166560          0.154290
              5.00          0.407350          0.345490          0.287090          0.236770          0.197190          0.170660          0.158520
              6.00          0.410160          0.350100          0.293460          0.243830          0.204160          0.177090          0.165110
              7.00          0.415240          0.357330          0.302730          0.253990          0.214330          0.186720          0.174930
              8.00          0.423370          0.368020          0.315750          0.268160          0.228660          0.200560          0.189000
              9.00          0.435440          0.383100          0.333480          0.287360          0.248240          0.219780          0.208560
             10.00          0.452360          0.403540          0.356950          0.312720          0.274320          0.245720          0.235010
             11.00          0.475060          0.430360          0.387280          0.345460          0.308220          0.279860          0.269940
             12.00          0.504440          0.464590          0.425600          0.386850          0.351380          0.323780          0.315130
             13.00          0.541340          0.507170          0.473000          0.438150          0.405250          0.379150          0.372440
             14.00          0.586480          0.558980          0.530520          0.500580          0.471240          0.447610          0.443810
             15.00          0.640410          0.620700          0.599050          0.575220          0.550660          0.530740          0.531110
             16.00          0.703500          0.692830          0.679250          0.662920          0.644620          0.629930          0.636070
             17.00          0.775840          0.775580          0.771520          0.764290          0.753940          0.746300          0.760160
             18.00          0.857280          0.868860          0.875930          0.879560          0.879090          0.880590          0.904450
             19.00          0.947370          0.972270          0.992180          1.008600          1.020100          1.033100          1.069500
             20.00          1.045300          1.085000          1.119600          1.150700          1.176500          1.203600          1.255500
             21.00          1.150200          1.206100          1.257000          1.304900          1.347500          1.391300          1.461800
             22.00          1.260700          1.334100          1.403200          1.469900          1.531500          1.595100          1.687400
             23.00          1.375500          1.467400          1.556200          1.643600          1.726900          1.813200          1.930800
             24.00          1.492900          1.604200          1.714200          1.824300          1.931600          2.043600          2.190100
             25.00          1.611400          1.742800          1.875100          2.009400          2.143100          2.283900          2.463000
             26.00          1.729300          1.881100          2.036800          2.196800          2.359100          2.531800          2.747300
             27.00          1.845100          2.017300          2.197000          2.384100          2.577100          2.784700          3.040400
             28.00          1.957300          2.149800          2.353900          2.569000          2.794700          3.040100          3.340200
             29.00          2.064600          2.277000          2.505500          2.749500          3.009600          3.295700          3.644200
             30.00          2.166000          2.397500          2.650300          2.923800          3.219800          3.549400          3.950600
             31.00          2.260500          2.510300          2.787000          3.090200          3.423500          3.799200          4.257300
             32.00          2.347500          2.614500          2.914500          3.247500          3.619200          4.043500          4.562600
             33.00          2.426400          2.709500          3.032000          3.394800          3.805700          4.280800          4.864900
             34.00          2.497100          2.795100          3.139100          3.531400          3.982100          4.509900          5.162600
             35.00          2.559500          2.871100          3.235600          3.656900          4.147800          4.729600          5.454300
             36.00          2.613700          2.937900          3.321600          3.771200          4.302200          4.939300          5.738500
             37.00          2.660200          2.995600          3.397500          3.874500          4.445300          5.138100          6.013800
             38.00          2.699300          3.045000          3.463800          3.967300          4.577200          5.325700          6.279100
             39.00          2.731700          3.086700          3.521200          4.050100          4.698100          5.501700          6.533100
             40.00          2.758100          3.121500          3.570700          4.123700          4.808600          5.666000          6.774700
             41.00          2.779300          3.150400          3.613200          4.189000          4.909100          5.818800          7.003100
             42.00          2.796100          3.174300          3.649700          4.247000          5.000600          5.960300          7.217800
             43.00          2.809300          3.194100          3.681400          4.298800          5.083900          6.090900          7.418200
             44.00          2.819500          3.210700          3.709100          4.345300          5.159800          6.211200          7.604300
             45.00          2.827400          3.224900          3.733800          4.387600          5.229300          6.321700          7.776100
             46.00          2.833500          3.237300          3.756300          4.426400          5.293100          6.423200          7.933900
             47.00          2.838100          3.248500          3.777200          4.462400          5.352000          6.516300          8.078100
             48.00          2.841600          3.258700          3.796800          4.496200          5.406600          6.601600          8.209000
             49.00          2.844000          3.268000          3.815500          4.528100          5.457300          6.679500          8.327200
