            angle	     Ex=0.000,HSS	      Ex=0.000,AC	     Ex=0.000,Boj	     Ex=0.000,DCV	      Ex=0.000,LH	      Ex=0.000,PP	
              5.00          1.012000          1.011000          1.015000          1.010000          1.013000          1.013000
              6.00          1.001000          0.999200          1.002000          0.999500          0.996400          1.003000
              7.00          0.984600          0.984400          0.980400          0.985200          0.978400          0.983600
              8.00          0.980500          0.982100          0.975100          0.982200          0.979900          0.977400
              9.00          0.988500          0.990500          0.986100          0.990100          0.996800          0.986600
             10.00          1.000000          1.002000          1.003000          1.002000          1.015000          1.001000
             11.00          1.011000          1.015000          1.019000          1.016000          1.028000          1.014000
             12.00          1.024000          1.029000          1.033000          1.030000          1.034000          1.025000
             13.00          1.039000          1.044000          1.049000          1.045000          1.038000          1.037000
             14.00          1.056000          1.060000          1.065000          1.059000          1.041000          1.050000
             15.00          1.071000          1.070000          1.077000          1.067000          1.043000          1.062000
             16.00          1.079000          1.071000          1.080000          1.065000          1.043000          1.069000
             17.00          1.074000          1.058000          1.070000          1.051000          1.039000          1.067000
             18.00          1.055000          1.034000          1.047000          1.025000          1.028000          1.054000
             19.00          1.024000          0.999000          1.013000          0.992100          1.010000          1.031000
             20.00          0.985100          0.959300          0.974300          0.954800          0.986000          1.001000
             21.00          0.942400          0.919000          0.934500          0.917700          0.957300          0.967600
             22.00          0.900900          0.881500          0.897900          0.883700          0.924500          0.933600
             23.00          0.863600          0.848700          0.866100          0.854100          0.888200          0.901600
             24.00          0.831500          0.820500          0.839000          0.828400          0.848700          0.872000
             25.00          0.804200          0.795800          0.814500          0.805300          0.806100          0.844300
             26.00          0.780000          0.772500          0.789800          0.782600          0.760900          0.816900
             27.00          0.756800          0.748500          0.762300          0.758300          0.713700          0.788200
             28.00          0.732500          0.722200          0.730200          0.731100          0.666000          0.757000
             29.00          0.705800          0.692800          0.692700          0.700200          0.619500          0.722700
             30.00          0.676100          0.660300          0.650500          0.666000          0.576100          0.685900
             31.00          0.643600          0.625400          0.605400          0.629500          0.537800          0.647600
             32.00          0.609100          0.589200          0.559900          0.591900          0.506200          0.609600
             33.00          0.574000          0.553300          0.516500          0.555100          0.482000          0.573800
             34.00          0.539500          0.518900          0.477500          0.520400          0.465500          0.541600
             35.00          0.507000          0.487300          0.444600          0.489200          0.455800          0.514400
             36.00          0.477300          0.459200          0.418600          0.462100          0.451500          0.492500
             37.00          0.450800          0.434800          0.399300          0.439400          0.450500          0.475800
             38.00          0.427600          0.414100          0.385900          0.421000          0.450500          0.463400
             39.00          0.407600          0.396900          0.377000          0.406400          0.449100          0.454100
             40.00          0.390200          0.382400          0.370700          0.394800          0.444300          0.446300
             41.00          0.375000          0.370100          0.365300          0.385200          0.434400          0.438700
             42.00          0.361300          0.359300          0.359200          0.376900          0.418700          0.429900
             43.00          0.348800          0.349500          0.351200          0.369100          0.396900          0.419100
             44.00          0.337100          0.340200          0.340700          0.361000          0.369700          0.405700
             45.00          0.325900          0.331000          0.327300          0.352300          0.338200          0.389800
             46.00          0.315200          0.321700          0.311300          0.342500          0.304300          0.371700
             47.00          0.304900          0.312000          0.293300          0.331600          0.269900          0.352200
             48.00          0.294900          0.301800          0.273900          0.319500          0.237000          0.332000
             49.00          0.285200          0.291000          0.254000          0.306200          0.207500          0.312300
             50.00          0.275500          0.279500          0.234600          0.292100          0.183000          0.293700
             51.00          0.265900          0.267400          0.216200          0.277400          0.164600          0.277200
             52.00          0.256100          0.254800          0.199600          0.262400          0.152800          0.263100
             53.00          0.246000          0.241600          0.185100          0.247500          0.147700          0.251700
             54.00          0.235500          0.228300          0.172900          0.233100          0.148500          0.243100
             55.00          0.224500          0.214900          0.163000          0.219500          0.154400          0.237000
             56.00          0.213100          0.202000          0.155400          0.207100          0.163900          0.233000
             57.00          0.201500          0.189700          0.149800          0.196100          0.175500          0.230800
             58.00          0.190000          0.178600          0.145800          0.186900          0.187400          0.229500
             59.00          0.178800          0.168800          0.143200          0.179500          0.198000          0.228800
             60.00          0.168400          0.160700          0.141600          0.174000          0.206000          0.228100
             61.00          0.159000          0.154400          0.140500          0.170100          0.210300          0.226800
             62.00          0.151000          0.149800          0.139500          0.167600          0.210100          0.224700
             63.00          0.144600          0.146900          0.138400          0.166200          0.205200          0.221500
             64.00          0.139800          0.145200          0.136800          0.165400          0.195600          0.217100
             65.00          0.136500          0.144500          0.134400          0.164800          0.182000          0.211500
             66.00          0.134500          0.144200          0.131000          0.163900          0.165000          0.204700
             67.00          0.133500          0.144000          0.126600          0.162400          0.145800          0.196900
             68.00          0.133000          0.143200          0.121100          0.159800          0.125500          0.188400
             69.00          0.132700          0.141600          0.114700          0.156000          0.105500          0.179500
             70.00          0.132100          0.138800          0.107400          0.150900          0.086980          0.170500
             71.00          0.130800          0.134700          0.099480          0.144500          0.070880          0.161700
             72.00          0.128500          0.129300          0.091340          0.137100          0.058060          0.153400
             73.00          0.125100          0.122700          0.083290          0.128900          0.049070          0.146000
             74.00          0.120400          0.115100          0.075660          0.120300          0.044120          0.139600
             75.00          0.114700          0.106900          0.068800          0.111700          0.043150          0.134400
             76.00          0.108100          0.098490          0.062950          0.103400          0.045780          0.130400
             77.00          0.101000          0.090340          0.058320          0.095930          0.051390          0.127800
             78.00          0.093560          0.082810          0.055010          0.089490          0.059180          0.126200
             79.00          0.086290          0.076260          0.053000          0.084290          0.068250          0.125700
             80.00          0.079540          0.070910          0.052190          0.080430          0.077620          0.125900
             81.00          0.073590          0.066910          0.052380          0.077880          0.086390          0.126500
             82.00          0.068680          0.064280          0.053310          0.076520          0.093730          0.127300
             83.00          0.064950          0.062930          0.054650          0.076140          0.098980          0.128000
             84.00          0.062420          0.062670          0.056100          0.076450          0.101700          0.128100
             85.00          0.061030          0.063220          0.057320          0.077160          0.101600          0.127600
             86.00          0.060610          0.064290          0.058060          0.077930          0.098820          0.126300
             87.00          0.060950          0.065530          0.058090          0.078480          0.093420          0.124000
             88.00          0.061770          0.066620          0.057290          0.078560          0.085840          0.120700
             89.00          0.062780          0.067290          0.055610          0.077980          0.076630          0.116600
             90.00          0.063700          0.067310          0.053080          0.076640          0.066420          0.111700
             91.00          0.064290          0.066550          0.049820          0.074500          0.055880          0.106300
             92.00          0.064330          0.064950          0.046010          0.071620          0.045670          0.100700
             93.00          0.063710          0.062510          0.041850          0.068100          0.036380          0.095070
             94.00          0.062350          0.059350          0.037590          0.064100          0.028530          0.089730
             95.00          0.060270          0.055610          0.033470          0.059830          0.022470          0.084920
             96.00          0.057540          0.051480          0.029710          0.055480          0.018420          0.080830
             97.00          0.054290          0.047200          0.026470          0.051270          0.016440          0.077590
             98.00          0.050690          0.042990          0.023900          0.047380          0.016440          0.075270
             99.00          0.046920          0.039040          0.022050          0.043960          0.018210          0.073860
            100.00          0.043180          0.035540          0.020930          0.041110          0.021400          0.073290
            101.00          0.039640          0.032620          0.020510          0.038890          0.025630          0.073410
            102.00          0.036480          0.030360          0.020680          0.037300          0.030460          0.074050
            103.00          0.033810          0.028790          0.021310          0.036310          0.035420          0.075010
            104.00          0.031700          0.027880          0.022250          0.035840          0.040110          0.076050
            105.00          0.030180          0.027560          0.023320          0.035780          0.044140          0.076960
            106.00          0.029250          0.027730          0.024380          0.036010          0.047250          0.077560
            107.00          0.028850          0.028250          0.025270          0.036380          0.049210          0.077690
            108.00          0.028900          0.028980          0.025870          0.036780          0.049930          0.077260
            109.00          0.029270          0.029770          0.026110          0.037090          0.049390          0.076200
            110.00          0.029850          0.030490          0.025940          0.037200          0.047680          0.074520
            111.00          0.030510          0.031010          0.025340          0.037050          0.044930          0.072270
            112.00          0.031120          0.031240          0.024350          0.036600          0.041370          0.069550
            113.00          0.031590          0.031130          0.023010          0.035830          0.037240          0.066490
            114.00          0.031820          0.030650          0.021420          0.034750          0.032790          0.063230
            115.00          0.031760          0.029800          0.019650          0.033410          0.028300          0.059930
            116.00          0.031370          0.028610          0.017800          0.031850          0.024010          0.056750
            117.00          0.030650          0.027140          0.015990          0.030150          0.020130          0.053830
            118.00          0.029640          0.025460          0.014290          0.028370          0.016830          0.051270
            119.00          0.028360          0.023660          0.012790          0.026600          0.014230          0.049160
            120.00          0.026880          0.021820          0.011530          0.024900          0.012390          0.047560
            121.00          0.025270          0.020040          0.010560          0.023330          0.011340          0.046460
            122.00          0.023620          0.018380          0.009885          0.021940          0.011030          0.045850
            123.00          0.021980          0.016920          0.009506          0.020760          0.011390          0.045670
            124.00          0.020440          0.015690          0.009395          0.019810          0.012340          0.045840
            125.00          0.019060          0.014730          0.009514          0.019100          0.013730          0.046270
            126.00          0.017870          0.014040          0.009810          0.018610          0.015420          0.046850
            127.00          0.016920          0.013630          0.010230          0.018310          0.017290          0.047470
            128.00          0.016200          0.013450          0.010710          0.018180          0.019180          0.048040
            129.00          0.015730          0.013490          0.011190          0.018180          0.020970          0.048470
            130.00          0.015490          0.013690          0.011630          0.018260          0.022550          0.048690
            131.00          0.015440          0.014010          0.011970          0.018380          0.023850          0.048640
            132.00          0.015550          0.014380          0.012200          0.018510          0.024780          0.048300
            133.00          0.015780          0.014770          0.012270          0.018600          0.025330          0.047660
            134.00          0.016080          0.015120          0.012190          0.018630          0.025470          0.046750
            135.00          0.016410          0.015390          0.011950          0.018580          0.025230          0.045590
