            angle	Ex=0.000(1g9/2)LH,Menet	Ex=0.000(1g9/2)AC,Menet	Ex=0.000(1g9/2)DCV,Menet	Ex=0.000(1g9/2)DCV,BG	Ex=0.000(1g9/2)DCV,Varner	Ex=0.000(1g9/2)DCV,KD	
              0.00          0.126340          0.425530          0.338360          0.334530          0.472730          0.613240
              1.00          0.128660          0.424340          0.337270          0.334350          0.472230          0.612160
              2.00          0.135640          0.420830          0.334090          0.333890          0.470810          0.609020
              3.00          0.147280          0.415220          0.329050          0.333410          0.468780          0.604140
              4.00          0.163600          0.407880          0.322540          0.333330          0.466600          0.598050
              5.00          0.184620          0.399300          0.315080          0.334210          0.464960          0.591490
              6.00          0.210320          0.390140          0.307340          0.336780          0.464680          0.585360
              7.00          0.240650          0.381170          0.300140          0.341850          0.466730          0.580770
              8.00          0.275520          0.373280          0.294370          0.350380          0.472210          0.578960
              9.00          0.314780          0.367470          0.291060          0.363350          0.482300          0.581270
             10.00          0.358200          0.364820          0.291280          0.381810          0.498240          0.589130
             11.00          0.405480          0.366480          0.296160          0.406770          0.521240          0.604000
             12.00          0.456200          0.373600          0.306810          0.439200          0.552460          0.627240
             13.00          0.509900          0.387290          0.324280          0.479950          0.592910          0.660140
             14.00          0.566000          0.408600          0.349540          0.529690          0.643440          0.703760
             15.00          0.623860          0.438420          0.383390          0.588870          0.704590          0.758890
             16.00          0.682770          0.477470          0.426400          0.657670          0.776630          0.825980
             17.00          0.741990          0.526200          0.478920          0.735970          0.859450          0.905090
             18.00          0.800800          0.584800          0.540990          0.823350          0.952560          0.995860
             19.00          0.858500          0.653160          0.612340          0.919040          1.055100          1.097500
             20.00          0.914480          0.730830          0.692410          1.022000          1.165900          1.208700
             21.00          0.968290          0.817070          0.780320          1.130900          1.283400          1.328000
             22.00          1.019600          0.910840          0.874930          1.244200          1.405800          1.453400
             23.00          1.068300          1.010800          0.974840          1.360300          1.531200          1.582800
             24.00          1.114600          1.115500          1.078500          1.477400          1.657500          1.713900
             25.00          1.158600          1.223100          1.184200          1.593600          1.782600          1.844200
             26.00          1.200900          1.331800          1.290000          1.707300          1.904300          1.971400
             27.00          1.242000          1.439700          1.394200          1.816600          2.020900          2.093200
             28.00          1.282700          1.544900          1.494900          1.920100          2.130400          2.207600
             29.00          1.323500          1.645300          1.590300          2.016300          2.231200          2.312700
             30.00          1.365100          1.739300          1.678800          2.103800          2.322000          2.407000
             31.00          1.408200          1.825100          1.759000          2.181700          2.401800          2.489100
             32.00          1.453000          1.901500          1.829500          2.249200          2.469700          2.558400
             33.00          1.499800          1.967200          1.889600          2.305800          2.525300          2.614400
             34.00          1.548800          2.021600          1.938700          2.351200          2.568400          2.657000
             35.00          1.599800          2.064300          1.976500          2.385400          2.599500          2.686600
             36.00          1.652700          2.095300          2.003300          2.408900          2.619000          2.704100
             37.00          1.707200          2.115200          2.019700          2.422400          2.627800          2.710600
             38.00          1.762600          2.124800          2.026600          2.426700          2.627200          2.707500
             39.00          1.818600          2.125300          2.025200          2.423100          2.618500          2.696600
             40.00          1.874300          2.118100          2.017100          2.412900          2.603300          2.679700
             41.00          1.929200          2.104800          2.003900          2.397600          2.583200          2.658600
             42.00          1.982300          2.087000          1.987100          2.378500          2.559800          2.635200
             43.00          2.032800          2.066500          1.968500          2.357200          2.534600          2.611000
             44.00          2.079800          2.044600          1.949500          2.334900          2.509000          2.587500
             45.00          2.122300          2.022500          1.931200          2.312800          2.484000          2.565800
             46.00          2.159200          2.001200          1.914600          2.291600          2.460400          2.546500
             47.00          2.189600          1.981300          1.900400          2.272000          2.438800          2.530200
             48.00          2.212500          1.963100          1.888700          2.254400          2.419500          2.516700
             49.00          2.227000          1.946700          1.879500          2.238800          2.402400          2.505900
             50.00          2.232500          1.931700          1.872600          2.225100          2.387300          2.497100
             51.00          2.228400          1.917700          1.867300          2.213200          2.373600          2.489700
             52.00          2.214400          1.904200          1.863100          2.202400          2.360900          2.482600
             53.00          2.190500          1.890300          1.859100          2.192400          2.348600          2.475000
             54.00          2.156900          1.875500          1.854500          2.182500          2.335900          2.465900
             55.00          2.114200          1.859300          1.848600          2.172300          2.322400          2.454700
             56.00          2.063200          1.840900          1.840700          2.161200          2.307500          2.440500
             57.00          2.004800          1.820300          1.830300          2.149000          2.290700          2.423000
             58.00          1.940400          1.797000          1.817000          2.135100          2.271900          2.401700
             59.00          1.871400          1.771200          1.800500          2.119500          2.250900          2.376700
             60.00          1.799300          1.743000          1.780900          2.102000          2.227700          2.348000
             61.00          1.725500          1.712600          1.758200          2.082600          2.202300          2.315800
             62.00          1.651800          1.680400          1.732600          2.061200          2.174900          2.280700
             63.00          1.579400          1.646900          1.704500          2.037900          2.145800          2.243000
             64.00          1.509700          1.612500          1.674200          2.013000          2.115200          2.203400
             65.00          1.443900          1.577800          1.642100          1.986300          2.083300          2.162300
             66.00          1.382900          1.543200          1.608800          1.958200          2.050400          2.120400
             67.00          1.327500          1.509100          1.574700          1.928600          2.016800          2.078200
             68.00          1.278000          1.475800          1.540100          1.897700          1.982500          2.036100
             69.00          1.234800          1.443600          1.505300          1.865500          1.947700          1.994300
             70.00          1.197800          1.412500          1.470600          1.832000          1.912400          1.953200
             71.00          1.166900          1.382500          1.436300          1.797300          1.876500          1.912900
             72.00          1.141600          1.353700          1.402500          1.761300          1.840100          1.873400
             73.00          1.121500          1.325900          1.369200          1.724100          1.803100          1.834600
             74.00          1.105800          1.298700          1.336400          1.685600          1.765300          1.796400
             75.00          1.093700          1.272100          1.304200          1.645800          1.726500          1.758500
             76.00          1.084600          1.245600          1.272400          1.604800          1.686800          1.720900
             77.00          1.077400          1.219000          1.241100          1.562700          1.646100          1.683200
             78.00          1.071400          1.192100          1.210000          1.519600          1.604300          1.645200
             79.00          1.065800          1.164600          1.179200          1.475700          1.561400          1.606800
             80.00          1.059700          1.136300          1.148600          1.431300          1.517600          1.567900
             81.00          1.052700          1.107100          1.118100          1.386600          1.473100          1.528400
             82.00          1.044100          1.077100          1.087800          1.341900          1.428000          1.488200
             83.00          1.033400          1.046200          1.057800          1.297700          1.382700          1.447600
             84.00          1.020400          1.014500          1.028100          1.254400          1.337500          1.406600
             85.00          1.004800          0.982350          0.998740          1.212200          1.292900          1.365500
             86.00          0.986620          0.949830          0.969930          1.171600          1.249100          1.324500
             87.00          0.965780          0.917270          0.941800          1.132900          1.206600          1.284000
             88.00          0.942440          0.884990          0.914480          1.096400          1.165700          1.244300
             89.00          0.916840          0.853310          0.888130          1.062500          1.127000          1.205700
             90.00          0.889270          0.822550          0.862870          1.031300          1.090500          1.168600
             91.00          0.860070          0.793010          0.838830          1.002900          1.056700          1.133200
             92.00          0.829670          0.764980          0.816100          0.977290          1.025600          1.099800
             93.00          0.798460          0.738660          0.794730          0.954560          0.997440          1.068600
             94.00          0.766900          0.714250          0.774750          0.934540          0.972140          1.039800
             95.00          0.735390          0.691850          0.756150          0.917040          0.949650          1.013300
             96.00          0.704340          0.671510          0.738900          0.901830          0.929850          0.989220
             97.00          0.674120          0.653230          0.722900          0.888610          0.912510          0.967440
             98.00          0.645050          0.636930          0.708060          0.877030          0.897360          0.947820
             99.00          0.617400          0.622490          0.694240          0.866720          0.884080          0.930160
            100.00          0.591390          0.609740          0.681310          0.857330          0.872310          0.914210
            101.00          0.567190          0.598480          0.669090          0.848450          0.861690          0.899690
            102.00          0.544890          0.588460          0.657420          0.839750          0.851820          0.886300
            103.00          0.524540          0.579430          0.646150          0.830880          0.842340          0.873720
            104.00          0.506150          0.571140          0.635100          0.821540          0.832890          0.861630
            105.00          0.489650          0.563320          0.624140          0.811480          0.823140          0.849740
            106.00          0.474970          0.555730          0.613140          0.800510          0.812820          0.837760
            107.00          0.461990          0.548140          0.601980          0.788470          0.801700          0.825440
            108.00          0.450550          0.540370          0.590600          0.775270          0.789580          0.812580
            109.00          0.440500          0.532230          0.578920          0.760880          0.776360          0.799010
