            angle	Ex=2.938(p:Menet,d:DCV)	Ex=2.938(p:KD,d:DCV)	Ex=2.938(p:Varmar,d:DCV)	Ex=2.938(p:BG,d:DCV(re))	Ex=2.938(p:Menet,d:LH)	Ex=2.938(p:Menet,d:DCV(nonREL))	Ex=2.938(p:Menet,d:AC)	Ex=2.938(p:Menet,d:Custom)	
             5.00	         0.498930	         0.510090	         0.461090	         0.398640	         0.517590	         0.496220	         0.532580	         0.411450	
             5.10	         0.497690	         0.509360	         0.460420	         0.398110	         0.516230	         0.494950	         0.531340	         0.410730	
             5.20	         0.496470	         0.508660	         0.459780	         0.397610	         0.514880	         0.493700	         0.530120	         0.410030	
             5.30	         0.495280	         0.507990	         0.459180	         0.397150	         0.513560	         0.492470	         0.528930	         0.409330	
             5.40	         0.494110	         0.507360	         0.458620	         0.396740	         0.512240	         0.491270	         0.527760	         0.408660	
             5.50	         0.492980	         0.506770	         0.458090	         0.396360	         0.510950	         0.490100	         0.526630	         0.408000	
             5.60	         0.491880	         0.506230	         0.457610	         0.396040	         0.509680	         0.488970	         0.525530	         0.407360	
             5.70	         0.490810	         0.505720	         0.457180	         0.395750	         0.508430	         0.487860	         0.524470	         0.406740	
             5.80	         0.489780	         0.505270	         0.456790	         0.395520	         0.507210	         0.486800	         0.523440	         0.406140	
             5.90	         0.488790	         0.504870	         0.456460	         0.395340	         0.506020	         0.485770	         0.522450	         0.405560	
             6.00	         0.487840	         0.504510	         0.456170	         0.395210	         0.504850	         0.484780	         0.521500	         0.405010	
             6.10	         0.486940	         0.504210	         0.455940	         0.395140	         0.503720	         0.483840	         0.520600	         0.404480	
             6.20	         0.486080	         0.503970	         0.455770	         0.395130	         0.502620	         0.482950	         0.519750	         0.403980	
             6.30	         0.485270	         0.503790	         0.455650	         0.395180	         0.501560	         0.482100	         0.518940	         0.403500	
             6.40	         0.484520	         0.503670	         0.455600	         0.395300	         0.500530	         0.481310	         0.518190	         0.403060	
             6.50	         0.483820	         0.503610	         0.455610	         0.395470	         0.499540	         0.480570	         0.517490	         0.402640	
             6.60	         0.483170	         0.503620	         0.455690	         0.395720	         0.498600	         0.479880	         0.516840	         0.402260	
             6.70	         0.482590	         0.503700	         0.455830	         0.396030	         0.497700	         0.479250	         0.516260	         0.401910	
             6.80	         0.482060	         0.503840	         0.456050	         0.396420	         0.496840	         0.478680	         0.515740	         0.401590	
