            angle	Ex=1.808(p:Menet,d:DCV)	Ex=1.808(p:KD,d:DCV)	Ex=1.808(p:Varmar,d:DCV)	Ex=1.808(p:BG,d:DCV(re))	Ex=1.808(p:Menet,d:LH)	Ex=1.808(p:Menet,d:Custom)	Ex=1.808(p:Menet,d:DCV(nonREL))	Ex=1.808(p:Menet,d:AC)	
             5.00	        29.777000	        33.434000	        32.893000	        32.313000	        21.258000	        12.701000	        29.620000	        29.418000	
             5.10	        29.588000	        33.231000	        32.690000	        32.114000	        21.105000	        12.599000	        29.431000	        29.230000	
             5.20	        29.396000	        33.024000	        32.485000	        31.912000	        20.951000	        12.495000	        29.239000	        29.038000	
             5.30	        29.201000	        32.815000	        32.277000	        31.708000	        20.795000	        12.390000	        29.044000	        28.844000	
             5.40	        29.003000	        32.603000	        32.066000	        31.501000	        20.637000	        12.284000	        28.846000	        28.647000	
             5.50	        28.804000	        32.388000	        31.852000	        31.291000	        20.477000	        12.177000	        28.647000	        28.448000	
             5.60	        28.601000	        32.171000	        31.636000	        31.079000	        20.315000	        12.069000	        28.444000	        28.247000	
             5.70	        28.397000	        31.951000	        31.417000	        30.864000	        20.151000	        11.959000	        28.240000	        28.043000	
             5.80	        28.190000	        31.728000	        31.196000	        30.647000	        19.985000	        11.849000	        28.033000	        27.837000	
             5.90	        27.981000	        31.503000	        30.972000	        30.427000	        19.818000	        11.737000	        27.824000	        27.628000	
             6.00	        27.769000	        31.276000	        30.746000	        30.205000	        19.649000	        11.624000	        27.612000	        27.418000	
             6.10	        27.556000	        31.046000	        30.518000	        29.981000	        19.479000	        11.510000	        27.399000	        27.205000	
             6.20	        27.340000	        30.814000	        30.287000	        29.755000	        19.307000	        11.396000	        27.183000	        26.990000	
             6.30	        27.123000	        30.580000	        30.054000	        29.526000	        19.133000	        11.280000	        26.966000	        26.774000	
             6.40	        26.903000	        30.343000	        29.819000	        29.296000	        18.958000	        11.164000	        26.746000	        26.555000	
             6.50	        26.682000	        30.105000	        29.582000	        29.063000	        18.782000	        11.047000	        26.525000	        26.335000	
             6.60	        26.459000	        29.865000	        29.343000	        28.829000	        18.604000	        10.929000	        26.302000	        26.113000	
             6.70	        26.234000	        29.623000	        29.102000	        28.592000	        18.426000	        10.810000	        26.077000	        25.889000	
             6.80	        26.008000	        29.378000	        28.860000	        28.354000	        18.245000	        10.690000	        25.851000	        25.663000	
             6.90	        25.780000	        29.132000	        28.615000	        28.114000	        18.064000	        10.570000	        25.623000	        25.436000	
             7.00	        25.550000	        28.885000	        28.369000	        27.872000	        17.882000	        10.450000	        25.393000	        25.207000	
             7.10	        25.319000	        28.635000	        28.121000	        27.629000	        17.698000	        10.328000	        25.162000	        24.977000	
             7.20	        25.086000	        28.385000	        27.872000	        27.385000	        17.514000	        10.206000	        24.929000	        24.745000	
             7.30	        24.852000	        28.132000	        27.621000	        27.138000	        17.328000	        10.084000	        24.696000	        24.513000	
             7.40	        24.617000	        27.878000	        27.368000	        26.891000	        17.142000	         9.961200	        24.460000	        24.278000	
             7.50	        24.381000	        27.623000	        27.115000	        26.642000	        16.955000	         9.837900	        24.224000	        24.043000	
             7.60	        24.143000	        27.366000	        26.860000	        26.392000	        16.767000	         9.714300	        23.987000	        23.807000	
             7.70	        23.905000	        27.109000	        26.603000	        26.140000	        16.579000	         9.590300	        23.748000	        23.569000	
             7.80	        23.665000	        26.850000	        26.346000	        25.888000	        16.390000	         9.466100	        23.508000	        23.330000	
             7.90	        23.424000	        26.589000	        26.087000	        25.634000	        16.200000	         9.341500	        23.268000	        23.091000	
             8.00	        23.183000	        26.328000	        25.828000	        25.379000	        16.009000	         9.216800	        23.026000	        22.851000	
             8.10	        22.941000	        26.066000	        25.567000	        25.124000	        15.819000	         9.091800	        22.784000	        22.609000	
             8.20	        22.698000	        25.803000	        25.306000	        24.867000	        15.627000	         8.966700	        22.541000	        22.367000	
             8.30	        22.454000	        25.539000	        25.044000	        24.610000	        15.436000	         8.841500	        22.298000	        22.125000	
             8.40	        22.209000	        25.275000	        24.781000	        24.352000	        15.244000	         8.716300	        22.053000	        21.882000	
             8.50	        21.964000	        25.009000	        24.517000	        24.094000	        15.051000	         8.591000	        21.808000	        21.638000	
             8.60	        21.719000	        24.743000	        24.253000	        23.834000	        14.859000	         8.465700	        21.563000	        21.393000	
             8.70	        21.473000	        24.477000	        23.988000	        23.575000	        14.666000	         8.340500	        21.317000	        21.149000	
             8.80	        21.227000	        24.210000	        23.723000	        23.315000	        14.473000	         8.215300	        21.071000	        20.904000	
             8.90	        20.980000	        23.942000	        23.457000	        23.054000	        14.280000	         8.090300	        20.824000	        20.658000	
             9.00	        20.733000	        23.674000	        23.191000	        22.793000	        14.088000	         7.965400	        20.578000	        20.413000	
             9.10	        20.486000	        23.406000	        22.925000	        22.532000	        13.895000	         7.840700	        20.331000	        20.167000	
             9.20	        20.239000	        23.138000	        22.658000	        22.270000	        13.702000	         7.716200	        20.084000	        19.921000	
             9.30	        19.992000	        22.869000	        22.391000	        22.009000	        13.510000	         7.592000	        19.836000	        19.675000	
             9.40	        19.744000	        22.601000	        22.125000	        21.747000	        13.317000	         7.468200	        19.589000	        19.429000	
             9.50	        19.497000	        22.332000	        21.858000	        21.485000	        13.125000	         7.344600	        19.342000	        19.183000	
             9.60	        19.250000	        22.063000	        21.591000	        21.224000	        12.933000	         7.221400	        19.095000	        18.938000	
             9.70	        19.003000	        21.794000	        21.324000	        20.962000	        12.742000	         7.098700	        18.848000	        18.692000	
             9.80	        18.756000	        21.526000	        21.058000	        20.701000	        12.551000	         6.976300	        18.602000	        18.447000	
             9.90	        18.510000	        21.258000	        20.791000	        20.439000	        12.360000	         6.854500	        18.356000	        18.202000	
            10.00	        18.264000	        20.990000	        20.525000	        20.178000	        12.170000	         6.733100	        18.110000	        17.957000	
            10.10	        18.018000	        20.722000	        20.259000	        19.918000	        11.980000	         6.612300	        17.864000	        17.713000	
            10.20	        17.773000	        20.455000	        19.994000	        19.658000	        11.791000	         6.492000	        17.619000	        17.469000	
            10.30	        17.528000	        20.188000	        19.729000	        19.398000	        11.603000	         6.372400	        17.375000	        17.226000	
            10.40	        17.284000	        19.921000	        19.465000	        19.139000	        11.415000	         6.253400	        17.131000	        16.983000	
            10.50	        17.041000	        19.656000	        19.201000	        18.880000	        11.228000	         6.135000	        16.888000	        16.741000	
            10.60	        16.798000	        19.390000	        18.938000	        18.622000	        11.042000	         6.017400	        16.645000	        16.500000	
            10.70	        16.556000	        19.126000	        18.675000	        18.365000	        10.856000	         5.900400	        16.403000	        16.259000	
            10.80	        16.315000	        18.862000	        18.413000	        18.108000	        10.672000	         5.784300	        16.162000	        16.020000	
            10.90	        16.074000	        18.599000	        18.152000	        17.852000	        10.488000	         5.668900	        15.922000	        15.781000	
            11.00	        15.835000	        18.337000	        17.892000	        17.597000	        10.306000	         5.554300	        15.682000	        15.543000	
            11.10	        15.596000	        18.076000	        17.633000	        17.343000	        10.124000	         5.440500	        15.444000	        15.306000	
            11.20	        15.358000	        17.816000	        17.375000	        17.090000	         9.943000	         5.327600	        15.207000	        15.070000	
            11.30	        15.122000	        17.556000	        17.118000	        16.838000	         9.763400	         5.215600	        14.970000	        14.835000	
            11.40	        14.886000	        17.298000	        16.861000	        16.587000	         9.584800	         5.104500	        14.735000	        14.601000	
            11.50	        14.652000	        17.041000	        16.606000	        16.337000	         9.407300	         4.994300	        14.501000	        14.368000	
            11.60	        14.419000	        16.785000	        16.353000	        16.088000	         9.231100	         4.885100	        14.268000	        14.137000	
            11.70	        14.187000	        16.530000	        16.100000	        15.841000	         9.056000	         4.776900	        14.036000	        13.906000	
            11.80	        13.956000	        16.276000	        15.848000	        15.594000	         8.882200	         4.669600	        13.806000	        13.677000	
            11.90	        13.727000	        16.024000	        15.598000	        15.349000	         8.709600	         4.563500	        13.577000	        13.450000	
            12.00	        13.499000	        15.773000	        15.349000	        15.105000	         8.538400	         4.458300	        13.349000	        13.223000	
            12.10	        13.272000	        15.524000	        15.102000	        14.863000	         8.368500	         4.354300	        13.123000	        12.998000	
            12.20	        13.047000	        15.276000	        14.856000	        14.622000	         8.200000	         4.251300	        12.898000	        12.775000	
            12.30	        12.823000	        15.029000	        14.612000	        14.382000	         8.032900	         4.149400	        12.674000	        12.553000	
            12.40	        12.601000	        14.784000	        14.369000	        14.144000	         7.867300	         4.048700	        12.453000	        12.332000	
            12.50	        12.380000	        14.540000	        14.127000	        13.908000	         7.703100	         3.949100	        12.232000	        12.113000	
            12.60	        12.161000	        14.298000	        13.888000	        13.673000	         7.540400	         3.850700	        12.013000	        11.896000	
            12.70	        11.944000	        14.058000	        13.649000	        13.439000	         7.379200	         3.753500	        11.796000	        11.680000	
            12.80	        11.728000	        13.819000	        13.413000	        13.208000	         7.219600	         3.657500	        11.581000	        11.466000	
            12.90	        11.514000	        13.582000	        13.178000	        12.978000	         7.061500	         3.562700	        11.367000	        11.254000	
            13.00	        11.301000	        13.347000	        12.945000	        12.749000	         6.905100	         3.469100	        11.155000	        11.044000	
            13.10	        11.091000	        13.114000	        12.714000	        12.523000	         6.750300	         3.376800	        10.945000	        10.835000	
            13.20	        10.882000	        12.882000	        12.485000	        12.298000	         6.597200	         3.285700	        10.737000	        10.628000	
            13.30	        10.675000	        12.653000	        12.257000	        12.075000	         6.445700	         3.195900	        10.530000	        10.423000	
