            angle	Ex=0.000(d:DCV,3He:XHS)	Ex=0.000(d:DCV,3He:LLC)	Ex=0.000(d:HSS,3He:LLC)	Ex=0.298(d:DCV,3He:XHS)	Ex=0.298(d:DCV,3He:LLC)	Ex=0.298(d:HSS,3He:LLC)	
              0.00          0.466420          0.473200          0.554960          0.423230          0.434670          0.511340
              1.00          0.515520          0.529760          0.609230          0.471580          0.490310          0.564780
              2.00          0.652650          0.688300          0.761070          0.606760          0.646390          0.714430
              3.00          0.849640          0.917850          0.979960          0.801350          0.872790          0.930600
              4.00          1.066700          1.174500          1.222700          1.016500          1.126700          1.171200
              5.00          1.260900          1.410600          1.442500          1.210500          1.361600          1.390500
              6.00          1.395600          1.584600          1.598800          1.347100          1.536800          1.548700
              7.00          1.446500          1.668500          1.664600          1.402300          1.624400          1.619000
              8.00          1.406000          1.651900          1.630400          1.368100          1.613700          1.591600
              9.00          1.282600          1.542100          1.504400          1.252400          1.511500          1.473800
             10.00          1.097600          1.360700          1.308900          1.075400          1.338200          1.286900
             11.00          0.879610          1.137900          1.074300          0.864860          1.123000          1.060200
             12.00          0.658460          0.905860          0.832930          0.649780          0.897220          0.825340
             13.00          0.459870          0.692960          0.613140          0.455500          0.688880          0.610090
             14.00          0.301840          0.519780          0.435180          0.299980          0.518400          0.434650
             15.00          0.193080          0.397040          0.309360          0.192140          0.396720          0.309610
             16.00          0.133320          0.325780          0.236310          0.132170          0.325350          0.236060
             17.00          0.115200          0.299130          0.208720          0.113230          0.297960          0.207310
             18.00          0.126900          0.305010          0.214260          0.124000          0.303010          0.211560
             19.00          0.155030          0.329230          0.238530          0.151450          0.326690          0.234870
             20.00          0.187050          0.358100          0.267840          0.183280          0.355580          0.263820
             21.00          0.213100          0.380550          0.291220          0.209650          0.378670          0.287510
             22.00          0.226890          0.389230          0.301510          0.224210          0.388520          0.298690
             23.00          0.225850          0.380830          0.295610          0.224240          0.381640          0.294110
