            angle	Ex=0.000(1g9/2)AC,Menet	Ex=1.190(2d5/2)AC,Menet	Ex=1.620(0i11/2)AC,Menet	Ex=1.810(2d5/2)AC,Menet	Ex=1.960(3s1/2)AC,Menet	Ex=2.330(2d3/2)AC,Menet	Ex=2.530(1g7/2)AC,Menet	
              0.00          0.199980          1.709500          0.012465          1.155200          0.724910          0.385210          0.102440
              0.50          0.199850          1.712300          0.012489          1.158600          0.719530          0.387740          0.102610
              1.00          0.199480          1.720900          0.012560          1.169000          0.703580          0.395310          0.103120
              1.50          0.198870          1.735100          0.012678          1.186300          0.677570          0.407960          0.103970
              2.00          0.198040          1.754800          0.012842          1.210300          0.642330          0.425720          0.105170
              2.50          0.197010          1.779900          0.013053          1.241200          0.599000          0.448640          0.106740
              3.00          0.195820          1.810100          0.013310          1.278600          0.548940          0.476730          0.108690
              3.50          0.194490          1.845400          0.013612          1.322500          0.493740          0.510010          0.111040
              4.00          0.193080          1.885300          0.013959          1.372600          0.435110          0.548460          0.113820
              4.50          0.191630          1.929600          0.014349          1.428600          0.374820          0.592010          0.117050
              5.00          0.190200          1.977900          0.014782          1.490200          0.314680          0.640540          0.120780
              5.50          0.188840          2.029700          0.015257          1.557100          0.256430          0.693860          0.125030
              6.00          0.187620          2.084500          0.015772          1.628600          0.201710          0.751690          0.129860
              6.50          0.186610          2.142000          0.016326          1.704300          0.151980          0.813680          0.135310
              7.00          0.185880          2.201500          0.016917          1.783500          0.108510          0.879420          0.141430
              7.50          0.185520          2.262500          0.017544          1.865600          0.072323          0.948360          0.148300
              8.00          0.185600          2.324300          0.018205          1.949700          0.044157          1.019900          0.155980
              8.50          0.186210          2.386500          0.018898          2.035200          0.024487          1.093500          0.164540
              9.00          0.187440          2.448400          0.019621          2.121300          0.013500          1.168400          0.174070
              9.50          0.189370          2.509400          0.020372          2.207200          0.011116          1.243800          0.184660
             10.00          0.192110          2.569200          0.021148          2.292100          0.017009          1.319000          0.196410
             10.50          0.195750          2.627200          0.021947          2.375400          0.030636          1.393400          0.209430
             11.00          0.200370          2.683000          0.022766          2.456400          0.051281          1.466200          0.223810
             11.50          0.206080          2.736300          0.023603          2.534500          0.078093          1.536900          0.239690
             12.00          0.212960          2.786800          0.024455          2.609300          0.110140          1.604800          0.257190
             12.50          0.221110          2.834500          0.025319          2.680400          0.146470          1.669600          0.276420
             13.00          0.230620          2.879200          0.026193          2.747800          0.186120          1.731000          0.297530
             13.50          0.241570          2.921000          0.027073          2.811300          0.228220          1.788900          0.320630
             14.00          0.254030          2.960200          0.027958          2.871100          0.271970          1.843100          0.345850
             14.50          0.268090          2.996800          0.028844          2.927300          0.316740          1.893900          0.373320
             15.00          0.283790          3.031300          0.029728          2.980500          0.362020          1.941500          0.403160
             15.50          0.301220          3.064100          0.030609          3.031100          0.407500          1.986300          0.435480
             16.00          0.320400          3.095600          0.031484          3.079800          0.453050          2.028900          0.470360
             16.50          0.341370          3.126500          0.032351          3.127300          0.498710          2.069900          0.507900
             17.00          0.364180          3.157200          0.033209          3.174400          0.544680          2.110200          0.548180
             17.50          0.388820          3.188400          0.034055          3.222000          0.591310          2.150400          0.591240
             18.00          0.415300          3.220700          0.034890          3.270900          0.639070          2.191500          0.637130
             18.50          0.443610          3.254600          0.035713          3.322100          0.688520          2.234400          0.685850
             19.00          0.473730          3.290800          0.036523          3.376400          0.740230          2.279800          0.737420
             19.50          0.505630          3.329700          0.037322          3.434500          0.794820          2.328700          0.791800
             20.00          0.539240          3.371900          0.038110          3.497200          0.852860          2.381700          0.848940
             20.50          0.574530          3.417800          0.038889          3.565200          0.914840          2.439600          0.908790
             21.00          0.611400          3.467700          0.039661          3.639000          0.981170          2.502800          0.971250
             21.50          0.649780          3.521800          0.040430          3.718900          1.052100          2.572000          1.036200
             22.00          0.689560          3.580600          0.041200          3.805300          1.127800          2.647300          1.103600
             22.50          0.730660          3.644000          0.041976          3.898300          1.208100          2.729000          1.173200
             23.00          0.772940          3.712100          0.042762          3.998100          1.292900          2.817100          1.244900
             23.50          0.816300          3.785100          0.043566          4.104400          1.381700          2.911600          1.318600
             24.00          0.860600          3.862800          0.044394          4.217300          1.474000          3.012300          1.394000
             24.50          0.905700          3.945300          0.045254          4.336400          1.568900          3.118800          1.470900
             25.00          0.951480          4.032300          0.046155          4.461500          1.665700          3.230900          1.549300
             25.50          0.997770          4.123800          0.047105          4.592200          1.763400          3.348100          1.628900
             26.00          1.044400          4.219800          0.048115          4.728000          1.860900          3.469900          1.709500
             26.50          1.091400          4.319900          0.049196          4.868600          1.957200          3.595800          1.791000
             27.00          1.138300          4.424200          0.050357          5.013700          2.051200          3.725100          1.873100
             27.50          1.185300          4.532500          0.051612          5.162700          2.141700          3.857500          1.955700
             28.00          1.232000          4.644600          0.052970          5.315300          2.227900          3.992300          2.038600
             28.50          1.278400          4.760600          0.054444          5.471300          2.308800          4.129200          2.121700
             29.00          1.324300          4.880300          0.056046          5.630200          2.383700          4.267600          2.204800
             29.50          1.369500          5.003600          0.057788          5.791900          2.452100          4.407300          2.287700
             30.00          1.414000          5.130500          0.059682          5.956200          2.513400          4.547800          2.370400
             30.50          1.457600          5.260900          0.061739          6.122900          2.567400          4.689100          2.452700
             31.00          1.500200          5.394800          0.063970          6.291900          2.614100          4.830800          2.534400
             31.50          1.541600          5.531900          0.066386          6.463100          2.653700          4.972800          2.615500
             32.00          1.581900          5.672300          0.068997          6.636300          2.686400          5.115100          2.695900
             32.50          1.620800          5.815700          0.071811          6.811600          2.712800          5.257600          2.775400
             33.00          1.658200          5.962000          0.074839          6.988700          2.733600          5.400300          2.854000
             33.50          1.694200          6.110800          0.078085          7.167700          2.749600          5.543200          2.931500
             34.00          1.728600          6.261900          0.081558          7.348200          2.761700          5.686300          3.007900
             34.50          1.761400          6.414900          0.085261          7.530200          2.771000          5.829500          3.083100
             35.00          1.792400          6.569300          0.089199          7.713200          2.778500          5.972700          3.156900
             35.50          1.821800          6.724600          0.093374          7.897100          2.785300          6.116100          3.229400
             36.00          1.849400          6.880200          0.097788          8.081400          2.792700          6.259300          3.300500
             36.50          1.875300          7.035400          0.102440          8.265500          2.801700          6.402200          3.370000
             37.00          1.899400          7.189700          0.107330          8.449100          2.813300          6.544600          3.437900
             37.50          1.921700          7.342100          0.112440          8.631400          2.828600          6.686300          3.504200
             38.00          1.942300          7.491900          0.117790          8.811800          2.848400          6.826800          3.568700
             38.50          1.961200          7.638400          0.123360          8.989500          2.873600          6.965800          3.631500
             39.00          1.978500          7.780600          0.129140          9.163800          2.904800          7.102800          3.692400
             39.50          1.994200          7.917800          0.135130          9.333800          2.942500          7.237300          3.751400
             40.00          2.008300          8.049000          0.141300          9.498700          2.987200          7.368800          3.808500
             40.50          2.021000          8.173600          0.147660          9.657800          3.039000          7.496800          3.863700
             41.00          2.032300          8.290800          0.154190          9.810100          3.098100          7.620700          3.916800
             41.50          2.042300          8.399900          0.160870          9.954900          3.164300          7.739900          3.968000
             42.00          2.051200          8.500200          0.167690         10.091000          3.237600          7.853900          4.017200
             42.50          2.058900          8.591300          0.174630         10.219000          3.317500          7.962000          4.064300
             43.00          2.065600          8.672600          0.181670         10.337000          3.403600          8.063900          4.109400
             43.50          2.071500          8.743900          0.188790         10.445000          3.495500          8.159000          4.152600
