            angle	Ex=1.600(1g9/2)AK	Ex=1.600(3s1/2)AK	Ex=1.600(2d5/2)AK	
              0.00          0.217000          1.265300          2.339600
              0.50          0.217070          1.259500          2.343200
              1.00          0.217290          1.242400          2.354000
              1.50          0.217670          1.214200          2.372000
              2.00          0.218230          1.175800          2.397000
              2.50          0.219000          1.127900          2.428800
              3.00          0.220030          1.071700          2.467400
              3.50          0.221370          1.008400          2.512300
              4.00          0.223060          0.939550          2.563400
              4.50          0.225190          0.866560          2.620100
              5.00          0.227820          0.790990          2.682100
              5.50          0.231040          0.714400          2.748700
              6.00          0.234940          0.638290          2.819400
              6.50          0.239620          0.564110          2.893500
              7.00          0.245200          0.493180          2.970200
              7.50          0.251780          0.426690          3.048700
              8.00          0.259510          0.365710          3.128100
              8.50          0.268510          0.311090          3.207600
              9.00          0.278920          0.263560          3.286200
              9.50          0.290880          0.223660          3.363100
             10.00          0.304570          0.191760          3.437300
             10.50          0.320120          0.168120          3.508100
             11.00          0.337700          0.152850          3.574600
             11.50          0.357480          0.145970          3.636300
             12.00          0.379620          0.147420          3.692500
             12.50          0.404280          0.157080          3.742900
             13.00          0.431620          0.174810          3.787100
             13.50          0.461800          0.200460          3.825100
             14.00          0.494960          0.233870          3.856800
             14.50          0.531230          0.274920          3.882500
             15.00          0.570750          0.323510          3.902500
             15.50          0.613620          0.379570          3.917200
             16.00          0.659910          0.443050          3.927400
             16.50          0.709710          0.513920          3.933900
             17.00          0.763060          0.592170          3.937300
             17.50          0.819990          0.677760          3.938800
             18.00          0.880490          0.770620          3.939400
             18.50          0.944530          0.870630          3.940000
             19.00          1.012100          0.977590          3.941800
             19.50          1.083000          1.091200          3.945900
             20.00          1.157200          1.211100          3.953300
             20.50          1.234500          1.336700          3.964900
             21.00          1.314900          1.467300          3.981900
             21.50          1.398000          1.602100          4.004900
             22.00          1.483700          1.740100          4.034800
             22.50          1.571700          1.880300          4.072400
             23.00          1.661800          2.021300          4.118100
             23.50          1.753700          2.161700          4.172600
             24.00          1.847100          2.300200          4.236300
             24.50          1.941800          2.435200          4.309400
             25.00          2.037400          2.565200          4.392400
             25.50          2.133700          2.688700          4.485300
             26.00          2.230300          2.804000          4.588300
             26.50          2.327000          2.910000          4.701500
             27.00          2.423400          3.005200          4.824900
             27.50          2.519300          3.088500          4.958500
             28.00          2.614500          3.159000          5.102200
             28.50          2.708500          3.215900          5.256000
             29.00          2.801300          3.258800          5.419700
             29.50          2.892600          3.287500          5.593100
             30.00          2.982100          3.301900          5.776100
             30.50          3.069800          3.302400          5.968400
             31.00          3.155300          3.289600          6.169600
             31.50          3.238600          3.264300          6.379600
             32.00          3.319500          3.227500          6.597700
             32.50          3.397900          3.180700          6.823600
             33.00          3.473700          3.125300          7.056600
             33.50          3.546800          3.063000          7.296100
             34.00          3.617200          2.995700          7.541400
             34.50          3.684800          2.925300          7.791600
             35.00          3.749600          2.853700          8.045800
             35.50          3.811600          2.783200          8.303000
             36.00          3.870800          2.715600          8.562100
             36.50          3.927200          2.653100          8.821800
             37.00          3.980900          2.597400          9.081100
             37.50          4.031900          2.550400          9.338600
             38.00          4.080200          2.513800          9.592900
             38.50          4.126000          2.489100          9.842700
             39.00          4.169400          2.477600         10.087000
             39.50          4.210400          2.480400         10.324000
             40.00          4.249100          2.498300         10.552000
             40.50          4.285700          2.532000         10.771000
             41.00          4.320300          2.582000         10.979000
             41.50          4.353000          2.648400         11.174000
             42.00          4.383800          2.731100         11.357000
             42.50          4.413100          2.829800         11.526000
             43.00          4.440800          2.944000         11.681000
             43.50          4.467200          3.073000         11.820000
             44.00          4.492200          3.215800         11.944000
             44.50          4.516100          3.371200         12.052000
             45.00          4.539000          3.538100         12.144000
             45.50          4.560900          3.714900         12.220000
             46.00          4.582000          3.900100         12.280000
             46.50          4.602300          4.092100         12.325000
             47.00          4.621900          4.289000         12.355000
             47.50          4.640900          4.489300         12.370000
             48.00          4.659300          4.690900         12.372000
             48.50          4.677100          4.892200         12.361000
             49.00          4.694400          5.091200         12.337000
             49.50          4.711200          5.286300         12.303000
