            angle	Ex=0.500(2d5/2)AK	Ex=0.500(2d5/2)AV	Ex=0.500(2d5/2)AM	Ex=0.500(2d5/2)AB	Ex=0.500(2d5/2)AP	Ex=0.500(2d5/2)HV	Ex=0.500(2d5/2)BV	Ex=0.500(2d5/2)DV	Ex=0.500(2d5/2)LV	Ex=0.500(2d5/2)PV	
              0.00          4.959400          4.109900          2.385500          3.671600          6.839800          4.718100          3.949000          3.598600          1.330000          2.524900
              1.00          4.953600          4.107000          2.386600          3.668400          6.831400          4.715700          3.944600          3.595700          1.331200          2.523600
              2.00          4.936400          4.098200          2.389800          3.659000          6.806000          4.708500          3.931700          3.586900          1.334900          2.520000
              3.00          4.907700          4.083600          2.395100          3.643300          6.763700          4.696500          3.910300          3.572300          1.341100          2.514200
              4.00          4.867900          4.063200          2.402800          3.621900          6.704900          4.679800          3.881200          3.552000          1.350200          2.506500
              5.00          4.817400          4.037200          2.413000          3.594800          6.629800          4.658600          3.845000          3.526200          1.362700          2.497600
              6.00          4.756800          4.006200          2.425900          3.562800          6.539300          4.633600          3.802800          3.495500          1.379300          2.488400
              7.00          4.687200          3.970700          2.442200          3.526800          6.434300          4.605600          3.756000          3.460400          1.401200          2.480100
              8.00          4.609000          3.931200          2.462000          3.487200          6.315400          4.575000          3.706000          3.421400          1.429400          2.473900
              9.00          4.523400          3.888200          2.485800          3.445100          6.183500          4.542500          3.654400          3.379200          1.465300          2.471300
             10.00          4.431500          3.842500          2.514000          3.401600          6.040100          4.509200          3.603300          3.334700          1.510700          2.474400
             11.00          4.334900          3.794900          2.546900          3.357700          5.886300          4.475800          3.554800          3.288900          1.567400          2.484900
             12.00          4.235000          3.746500          2.584700          3.314900          5.723900          4.443200          3.511300          3.243000          1.637600          2.505300
             13.00          4.133900          3.698100          2.627700          3.274600          5.554900          4.412400          3.475200          3.198300          1.723200          2.537700
             14.00          4.033800          3.651200          2.675900          3.238400          5.382100          4.384400          3.449200          3.156400          1.826300          2.584500
             15.00          3.937500          3.606900          2.728900          3.208100          5.208600          4.359900          3.435800          3.119000          1.948600          2.647800
             16.00          3.847700          3.566800          2.786500          3.185400          5.037900          4.339800          3.437500          3.088100          2.091700          2.729800
             17.00          3.768400          3.533200          2.848500          3.172800          4.875100          4.325400          3.457200          3.066400          2.256700          2.832400
             18.00          3.703300          3.507800          2.914200          3.172200          4.725100          4.317700          3.496900          3.056000          2.443700          2.956900
             19.00          3.656600          3.493400          2.983400          3.185900          4.593900          4.318000          3.558800          3.060000          2.652400          3.104300
             20.00          3.633100          3.493000          3.056100          3.216700          4.488200          4.328400          3.645100          3.081500          2.882200          3.275400
             21.00          3.637500          3.509900          3.132900          3.267200          4.414800          4.351100          3.757600          3.124000          3.131200          3.470500
             22.00          3.674700          3.548000          3.214900          3.340300          4.380800          4.389000          3.897900          3.191200          3.397500          3.689600
             23.00          3.749500          3.611400          3.303900          3.438800          4.393200          4.445600          4.067500          3.286700          3.678400          3.932500
             24.00          3.865900          3.704100          3.402300          3.565500          4.457900          4.524500          4.267300          3.414000          3.971000          4.198600
             25.00          4.027300          3.830200          3.513100          3.723000          4.580300          4.629900          4.498100          3.576300          4.272100          4.487200
             26.00          4.235500          3.992600          3.639300          3.912400          4.763300          4.765300          4.759500          3.775600          4.577800          4.796800
             27.00          4.490700          4.193500          3.783800          4.134600          5.008100          4.933900          5.050300          4.013000          4.884400          5.125500
             28.00          4.791200          4.433200          3.948800          4.388600          5.312700          5.137500          5.368000          4.287900          5.187300          5.470600
             29.00          5.133000          4.710700          4.135700          4.672200          5.672800          5.376900          5.708800          4.598000          5.482500          5.828800
             30.00          5.509900          5.022700          4.344600          4.981400          6.081100          5.650900          6.067700          4.939200          5.765200          6.196000
             31.00          5.913800          5.364200          4.574100          5.310800          6.527600          5.956600          6.438200          5.305600          6.031100          6.567200
             32.00          6.334800          5.728400          4.821600          5.653500          7.000100          6.289300          6.812900          5.689900          6.276100          6.937300
             33.00          6.762100          6.106900          5.082900          6.001800          7.485100          6.642700          7.183900          6.083600          6.496900          7.300600
             34.00          7.184100          6.490300          5.352900          6.347300          7.968000          7.009200          7.542600          6.477200          6.690500          7.651200
             35.00          7.589100          6.868800          5.625200          6.681200          8.434200          7.379900          7.880800          6.861100          6.855100          7.983400
             36.00          7.966300          7.232300          5.893400          6.995300          8.869800          7.745800          8.190600          7.226000          6.989900          8.292200
             37.00          8.305700          7.571400          6.150500          7.281900          9.262300          8.097200          8.465100          7.563100          7.094900          8.572700
