            angle	Ex=0.000(2d3/2)AK	Ex=0.500(2d3/2)AK	Ex=1.000(2d3/2)AK	Ex=1.500(2d3/2)AK	Ex=2.000(2d3/2)AK	Ex=2.500(2d3/2)AK	Ex=3.000(2d3/2)AK	
              0.00          2.893700          2.654100          2.276300          1.744100          1.091200          0.426790          0.128220
              1.00          2.896800          2.659100          2.283300          1.753200          1.101700          0.437410          0.134600
              2.00          2.905800          2.673900          2.304100          1.780000          1.133300          0.469620          0.155190
              3.00          2.919800          2.697600          2.337600          1.823800          1.185600          0.524280          0.193940
              4.00          2.937600          2.728400          2.382300          1.883100          1.257800          0.602400          0.256380
              5.00          2.957200          2.764400          2.435800          1.956000          1.348700          0.704490          0.348180
              6.00          2.976500          2.802800          2.495400          2.039600          1.455900          0.830030          0.473610
              7.00          2.993100          2.840700          2.557700          2.130200          1.576300          0.976870          0.634160
              8.00          3.004600          2.875100          2.619000          2.223800          1.705300          1.141100          0.827660
              9.00          3.008700          2.902800          2.675500          2.315900          1.837800          1.316900          1.047900
             10.00          3.003700          2.921300          2.723700          2.401700          1.968100          1.497200          1.285300
             11.00          2.988300          2.928400          2.760600          2.477300          2.090600          1.674200          1.527800
             12.00          2.961900          2.922900          2.783900          2.539200          2.200400          1.840600          1.762600
             13.00          2.924900          2.904600          2.792800          2.585400          2.293600          1.990000          1.978100
             14.00          2.878500          2.874400          2.787600          2.615100          2.368400          2.118300          2.165500
             15.00          2.824900          2.834300          2.769700          2.629500          2.424800          2.224100          2.320100
             16.00          2.766900          2.787200          2.742300          2.631200          2.465000          2.308800          2.442100
             17.00          2.708000          2.737000          2.709300          2.624400          2.493200          2.376700          2.536500
             18.00          2.651800          2.688100          2.675300          2.614000          2.514900          2.434100          2.612500
             19.00          2.602500          2.644900          2.645700          2.606000          2.536700          2.489200          2.682000
             20.00          2.563700          2.612000          2.625500          2.606200          2.565300          2.550200          2.757900
             21.00          2.539100          2.593600          2.619700          2.620300          2.607200          2.625200          2.852700
             22.00          2.531900          2.593500          2.632500          2.653100          2.668100          2.721000          2.976400
             23.00          2.544600          2.614800          2.667700          2.708600          2.752300          2.842600          3.136300
             24.00          2.579600          2.659900          2.727900          2.789900          2.863000          2.992900          3.335300
             25.00          2.638200          2.730700          2.815100          2.899000          3.001800          3.173000          3.573100
             26.00          2.721500          2.828100          2.930300          3.036800          3.169400          3.382400          3.846000
             27.00          2.829800          2.952500          3.074000          3.203600          3.365600          3.619400          4.148600
             28.00          2.962800          3.103600          3.245900          3.399100          3.589500          3.881700          4.474400
             29.00          3.119400          3.280400          3.444800          3.622100          3.839900          4.167100          4.817300
             30.00          3.297900          3.481000          3.669200          3.871400          4.115500          4.473600          5.172400
             31.00          3.495500          3.702900          3.916700          4.144700          4.414500          4.799800          5.537000
             32.00          3.708600          3.942500          4.184100          4.439600          4.735100          5.144700          5.909900
             33.00          3.932900          4.195600          4.467500          4.752600          5.075100          5.507400          6.292300
             34.00          4.163000          4.456900          4.761900          5.079700          5.431700          5.887100          6.686200
             35.00          4.393000          4.720600          5.061900          5.416000          5.801100          6.282500          7.094100
             36.00          4.616400          4.980200          5.360900          5.755600          6.178800          6.691200          7.518300
             37.00          4.826600          5.228800          5.652400          6.092100          6.559400          7.109900          7.959700
             38.00          5.017200          5.459800          5.929300          6.418800          6.936700          7.533800          8.417200
             39.00          5.182100          5.666700          6.184900          6.728400          7.303700          7.957200          8.887800
             40.00          5.316200          5.843900          6.412700          7.014400          7.653400          8.373300          9.366200
             41.00          5.415700          5.986600          6.607500          7.270300          7.978900          8.774500          9.845300
             42.00          5.478000          6.091700          6.764900          7.491000          8.273700          9.153400         10.317000
             43.00          5.502300          6.157400          6.882400          7.672500          8.532400          9.502700         10.770000
             44.00          5.489200          6.183700          6.958800          7.812400          8.750700          9.816100         11.198000
             45.00          5.441300          6.172200          6.994600          7.909800          8.926200         10.088000         11.590000
             46.00          5.362400          6.126000          6.992100          7.965600          9.057700         10.316000         11.939000
             47.00          5.257500          6.049700          6.954900          7.982200          9.145900         10.497000         12.241000
             48.00          5.132700          5.948700          6.888000          7.963400          9.193000         10.632000         12.490000
             49.00          4.994600          5.829300          6.796900          7.914100          9.202500         10.722000         12.686000
