            angle	Ex=0.000(1g7/2)AK	Ex=0.500(1g7/2)AK	Ex=1.000(1g7/2)AK	Ex=1.500(1g7/2)AK	Ex=2.000(1g7/2)AK	Ex=2.500(1g7/2)AK	Ex=3.000(1g7/2)AK	
              0.00          0.318000          0.277860          0.236410          0.199430          0.168720          0.146840          0.135340
              1.00          0.318040          0.278000          0.236640          0.199670          0.168870          0.146860          0.135270
              2.00          0.318190          0.278460          0.237410          0.200430          0.169400          0.146990          0.135120
              3.00          0.318640          0.279400          0.238880          0.201880          0.170480          0.147440          0.135110
              4.00          0.319620          0.281110          0.241300          0.204320          0.172440          0.148540          0.135590
              5.00          0.321500          0.283950          0.245050          0.208150          0.175700          0.150780          0.137030
              6.00          0.324730          0.288380          0.250600          0.213870          0.180830          0.154740          0.140080
              7.00          0.329830          0.294960          0.258520          0.222090          0.188500          0.161160          0.145480
              8.00          0.337370          0.304320          0.269450          0.233550          0.199500          0.170910          0.154160
              9.00          0.348010          0.317150          0.284140          0.249030          0.214720          0.184980          0.167170
             10.00          0.362390          0.334180          0.303380          0.269440          0.235170          0.204470          0.185730
             11.00          0.381200          0.356170          0.328010          0.295730          0.261920          0.230610          0.211200
             12.00          0.405090          0.383870          0.358890          0.328880          0.296100          0.264690          0.245050
             13.00          0.434660          0.417990          0.396850          0.369860          0.338870          0.308050          0.288840
             14.00          0.470420          0.459150          0.442670          0.419620          0.391340          0.362040          0.344170
             15.00          0.512780          0.507860          0.497000          0.478970          0.454520          0.427890          0.412560
             16.00          0.561980          0.564470          0.560330          0.548560          0.529270          0.506720          0.495410
             17.00          0.618080          0.629130          0.632950          0.628820          0.616200          0.599370          0.593900
             18.00          0.680970          0.701750          0.714880          0.719910          0.715660          0.706420          0.708850
             19.00          0.750280          0.782010          0.805870          0.821670          0.827620          0.828050          0.840720
             20.00          0.825490          0.869320          0.905370          0.933600          0.951710          0.964050          0.989510
             21.00          0.905830          0.962880          1.012600          1.054900          1.087200          1.113800          1.154800
             22.00          0.990420          1.061700          1.126300          1.184400          1.232900          1.276200          1.335600
             23.00          1.078200          1.164500          1.245400          1.320700          1.387400          1.450000          1.530700
             24.00          1.168000          1.269900          1.368200          1.462300          1.549100          1.633400          1.738500
             25.00          1.258800          1.376800          1.493200          1.607300          1.716100          1.824700          1.957200
             26.00          1.349300          1.483500          1.618800          1.754000          1.886600          2.021700          2.184800
             27.00          1.438500          1.588900          1.743400          1.900600          2.058500          2.222600          2.419300
             28.00          1.525200          1.691600          1.865600          2.045400          2.230000          2.425300          2.658900
             29.00          1.608600          1.790500          1.983900          2.186900          2.399400          2.628100          2.901700
             30.00          1.688000          1.884700          2.097200          2.323700          2.565100          2.829200          3.146100
             31.00          1.762600          1.973400          2.204600          2.454600          2.725800          3.027200          3.390500
             32.00          1.832100          2.056000          2.305200          2.578700          2.880400          3.220800          3.633600
             33.00          1.896000          2.132100          2.398600          2.695200          3.027900          3.408800          3.874000
             34.00          1.954100          2.201500          2.484500          2.803900          3.167800          3.590400          4.110600
             35.00          2.006600          2.264200          2.562600          2.904300          3.299400          3.764700          4.342200
             36.00          2.053400          2.320200          2.633200          2.996400          3.422600          3.931100          4.567700
             37.00          2.094700          2.369900          2.696400          3.080500          3.537200          4.089100          4.786100
             38.00          2.130900          2.413500          2.752600          3.156600          3.643300          4.238400          4.996400
             39.00          2.162300          2.451600          2.802300          3.225400          3.741100          4.378800          5.197600
             40.00          2.189400          2.484800          2.846200          3.287300          3.830900          4.510100          5.389100
             41.00          2.212600          2.513500          2.884800          3.342900          3.913200          4.632400          5.570100
             42.00          2.232400          2.538300          2.918800          3.392900          3.988500          4.745900          5.740200
             43.00          2.249300          2.559900          2.949000          3.438100          4.057400          4.850900          5.899100
             44.00          2.263600          2.578700          2.975900          3.479000          4.120400          4.947800          6.046700
             45.00          2.275700          2.595300          3.000100          3.516300          4.178300          5.037000          6.183100
             46.00          2.285700          2.609900          3.022100          3.550500          4.231500          5.118900          6.308300
             47.00          2.293900          2.622700          3.042200          3.582100          4.280400          5.194100          6.422800
             48.00          2.300300          2.633900          3.060600          3.611300          4.325600          5.262900          6.526900
             49.00          2.304900          2.643500          3.077300          3.638200          4.367100          5.325600          6.620800
