            angle	Ex=0.000(1g9/2)LH,Menet	Ex=0.000(1g9/2)AC,Menet	Ex=0.000(1g9/2)DCV,Menet	Ex=0.000(1g9/2)DCV,BG	Ex=0.000(1g9/2)DCV,Varner	Ex=0.000(1g9/2)DCV,KD	
              0.00          0.120490          0.199980          0.147890          0.171190          0.236320          0.316490
              0.50          0.120940          0.199850          0.147800          0.171280          0.236360          0.316480
              1.00          0.122280          0.199480          0.147510          0.171550          0.236520          0.316430
              1.50          0.124520          0.198870          0.147040          0.172030          0.236790          0.316370
              2.00          0.127650          0.198040          0.146410          0.172710          0.237190          0.316320
              2.50          0.131670          0.197010          0.145650          0.173640          0.237760          0.316310
              3.00          0.136580          0.195820          0.144770          0.174840          0.238540          0.316380
              3.50          0.142370          0.194490          0.143820          0.176360          0.239560          0.316580
              4.00          0.149040          0.193080          0.142850          0.178230          0.240890          0.316970
              4.50          0.156580          0.191630          0.141900          0.180520          0.242580          0.317620
              5.00          0.164980          0.190200          0.141030          0.183270          0.244690          0.318600
              5.50          0.174220          0.188840          0.140300          0.186550          0.247310          0.319990
              6.00          0.184300          0.187620          0.139770          0.190430          0.250500          0.321870
              6.50          0.195200          0.186610          0.139510          0.194980          0.254350          0.324350
              7.00          0.206890          0.185880          0.139600          0.200270          0.258950          0.327510
              7.50          0.219360          0.185520          0.140110          0.206380          0.264380          0.331470
              8.00          0.232580          0.185600          0.141120          0.213380          0.270740          0.336330
              8.50          0.246530          0.186210          0.142720          0.221360          0.278130          0.342190
              9.00          0.261170          0.187440          0.145000          0.230390          0.286640          0.349170
              9.50          0.276470          0.189370          0.148030          0.240550          0.296370          0.357390
             10.00          0.292390          0.192110          0.151900          0.251930          0.307410          0.366950
             10.50          0.308910          0.195750          0.156720          0.264600          0.319860          0.377970
             11.00          0.325960          0.200370          0.162550          0.278630          0.333810          0.390550
             11.50          0.343520          0.206080          0.169500          0.294090          0.349350          0.404810
             12.00          0.361540          0.212960          0.177640          0.311050          0.366550          0.420830
             12.50          0.379970          0.221110          0.187050          0.329560          0.385500          0.438720
             13.00          0.398770          0.230620          0.197820          0.349680          0.406250          0.458560
             13.50          0.417880          0.241570          0.210010          0.371450          0.428880          0.480430
             14.00          0.437270          0.254030          0.223700          0.394910          0.453430          0.504390
             14.50          0.456870          0.268090          0.238940          0.420090          0.479940          0.530490
             15.00          0.476650          0.283790          0.255790          0.446990          0.508430          0.558770
             15.50          0.496550          0.301220          0.274290          0.475630          0.538920          0.589260
             16.00          0.516540          0.320400          0.294470          0.505990          0.571400          0.621970
             16.50          0.536550          0.341370          0.316360          0.538060          0.605860          0.656890
             17.00          0.556560          0.364180          0.339970          0.571800          0.642260          0.693990
             17.50          0.576520          0.388820          0.365300          0.607170          0.680560          0.733230
             18.00          0.596400          0.415300          0.392350          0.644110          0.720700          0.774550
             18.50          0.616160          0.443610          0.421080          0.682550          0.762600          0.817870
             19.00          0.635780          0.473730          0.451460          0.722410          0.806160          0.863090
             19.50          0.655250          0.505630          0.483450          0.763600          0.851280          0.910100
             20.00          0.674530          0.539240          0.516990          0.806000          0.897840          0.958770
             20.50          0.693640          0.574530          0.552000          0.849510          0.945700          1.009000
             21.00          0.712580          0.611400          0.588410          0.894000          0.994730          1.060500
             21.50          0.731340          0.649780          0.626120          0.939360          1.044800          1.113200
             22.00          0.749950          0.689560          0.665030          0.985430          1.095700          1.167000
             22.50          0.768440          0.730660          0.705040          1.032100          1.147200          1.221500
             23.00          0.786850          0.772940          0.746030          1.079200          1.199300          1.276700
             23.50          0.805220          0.816300          0.787870          1.126600          1.251700          1.332300
             24.00          0.823610          0.860600          0.830440          1.174200          1.304300          1.388200
             24.50          0.842080          0.905700          0.873610          1.221800          1.356900          1.444100
             25.00          0.860700          0.951480          0.917250          1.269200          1.409400          1.499800
             25.50          0.879560          0.997770          0.961220          1.316500          1.461500          1.555100
             26.00          0.898740          1.044400          1.005400          1.363300          1.513100          1.609900
