            angle	Ex=0.000(3s1/2)AK	Ex=0.500(3s1/2)AK	Ex=1.000(3s1/2)AK	Ex=1.500(3s1/2)AK	Ex=2.000(3s1/2)AK	Ex=2.500(3s1/2)AK	Ex=3.000(3s1/2)AK	
              0.00          0.047510          0.121730          0.419420          1.073100          2.324400          4.910200         12.773000
              1.00          0.049741          0.120550          0.411490          1.053400          2.283900          4.825400         12.543000
              2.00          0.056826          0.117620          0.388760          0.996260          2.166100          4.578700         11.872000
              3.00          0.069903          0.114710          0.354260          0.907120          1.981300          4.192200         10.824000
              4.00          0.090756          0.114510          0.312650          0.794370          1.745400          3.699600          9.493900
              5.00          0.121670          0.120420          0.269650          0.668240          1.477700          3.141800          7.997800
              6.00          0.165240          0.136140          0.231410          0.539640          1.198500          2.561900          6.458700
              7.00          0.224250          0.165420          0.203950          0.419000          0.927080          2.000400          4.992000
              8.00          0.301460          0.211730          0.192620          0.315320          0.679670          1.490600          3.693200
              9.00          0.399540          0.278180          0.201800          0.235530          0.468010          1.055900          2.628400
             10.00          0.520950          0.367350          0.234810          0.184290          0.299020          0.707960          1.829800
             11.00          0.667830          0.481340          0.293920          0.164120          0.175000          0.447800          1.296000
             12.00          0.841900          0.621730          0.380590          0.175880          0.094580          0.267160          0.996360
             13.00          1.044300          0.789600          0.495630          0.219320          0.054048          0.151740          0.878980
             14.00          1.275400          0.985450          0.639420          0.293740          0.048836          0.084690          0.880960
             15.00          1.534400          1.209000          0.811940          0.398450          0.074843          0.049977          0.938570
             16.00          1.819100          1.459200          1.012700          0.532950          0.129360          0.035194          0.996460
             17.00          2.125900          1.733300          1.240400          0.696890          0.211450          0.033246          1.014400
             18.00          2.448900          2.027400          1.492900          0.889700          0.321760          0.042857          0.971140
             19.00          2.780500          2.335500          1.766200          1.110100          0.461820          0.067866          0.864310
             20.00          3.111000          2.650000          2.054900          1.355300          0.633050          0.115590          0.708220
             21.00          3.429100          2.961100          2.351400          1.620800          0.835600          0.194580          0.528790
             22.00          3.722600          3.257700          2.646300          1.899800          1.067400          0.312330          0.357570
             23.00          3.978500          3.528000          2.928900          2.183500          1.323500          0.473120          0.225550
             24.00          4.184800          3.759900          3.187300          2.461000          1.595900          0.676700          0.157900
             25.00          4.330700          3.942100          3.409800          2.720400          1.874000          0.917600          0.170150
             26.00          4.407900          4.065200          3.585600          2.949700          2.145000          1.185600          0.266420
             27.00          4.411400          4.122600          3.706100          3.137900          2.395700          1.466500          0.439530
             28.00          4.340100          4.111100          3.765400          3.276000          2.613600          1.744200          0.672910
             29.00          4.197300          4.031700          3.761400          3.358200          2.788200          2.002500          0.943580
             30.00          3.990400          3.889300          3.696100          3.382600          2.912200          2.226900          1.225900
             31.00          3.731100          3.693200          3.575900          3.351500          2.982700          2.406500          1.495000
             32.00          3.434200          3.456200          3.410700          3.271400          3.001100          2.535100          1.730100
             33.00          3.117300          3.194000          3.214100          3.152500          2.973100          2.611600          1.916700
             34.00          2.799400          2.924200          3.001800          3.008400          2.908800          2.640200          2.047400
             35.00          2.499700          2.665200          2.791000          2.854300          2.820900          2.629500          2.122300
             36.00          2.236700          2.434900          2.599200          2.706700          2.724300          2.591700          2.148100
             37.00          2.026700          2.249800          2.442600          2.581700          2.634500          2.541200          2.136200
             38.00          1.883300          2.123800          2.335500          2.494200          2.566600          2.493000          2.101500
             39.00          1.816300          2.067600          2.289600          2.456400          2.534000          2.461500          2.059700
             40.00          1.831200          2.087900          2.312600          2.477700          2.547700          2.459700          2.026300
             41.00          1.929300          2.187100          2.408600          2.563800          2.615300          2.497400          2.014500
             42.00          2.107400          2.363600          2.577600          2.716800          2.741100          2.581700          2.034600
             43.00          2.358300          2.611500          2.815400          2.934600          2.925700          2.716000          2.093700
             44.00          2.671100          2.921500          3.114400          3.211700          3.166000          2.900400          2.194900
             45.00          3.032100          3.281200          3.463900          3.539400          3.456100          3.131600          2.338300
             46.00          3.425400          3.675600          3.850600          3.906500          3.787000          3.403700          2.520900
             47.00          3.833800          4.088700          4.259700          4.299900          4.147700          3.708500          2.737400
             48.00          4.240000          4.503500          4.675200          4.705100          4.526100          4.036300          2.981000
             49.00          4.626900          4.903500          5.081500          5.107500          4.908900          4.376200          3.243700
