            angle	Ex=0.000(1g9/2)HSS,KD	Ex=0.000(1g9/2)HSS,BG	Ex=0.000(1g9/2)AC,KD	Ex=0.000(1g9/2)AC,BG	Ex=0.000(1g9/2)DCV,KD	Ex=0.000(1g9/2)DCV,BG	
              0.00          0.265890          0.103030          0.256360          0.138980          0.218120          0.137610
              1.00          0.265700          0.102990          0.256210          0.138970          0.218000          0.137610
              2.00          0.265140          0.102870          0.255810          0.138940          0.217660          0.137620
              3.00          0.264260          0.102690          0.255180          0.138920          0.217150          0.137670
              4.00          0.263130          0.102500          0.254400          0.138970          0.216520          0.137810
              5.00          0.261820          0.102370          0.253560          0.139160          0.215880          0.138110
              6.00          0.260460          0.102350          0.252780          0.139560          0.215320          0.138640
              7.00          0.259160          0.102530          0.252200          0.140250          0.214990          0.139490
              8.00          0.258060          0.102990          0.251950          0.141340          0.215000          0.140750
              9.00          0.257320          0.103820          0.252180          0.142910          0.215500          0.142490
             10.00          0.257070          0.105090          0.253040          0.145040          0.216620          0.144800
             11.00          0.257450          0.106870          0.254650          0.147810          0.218480          0.147750
             12.00          0.258610          0.109240          0.257150          0.151270          0.221190          0.151370
             13.00          0.260660          0.112240          0.260630          0.155470          0.224830          0.155710
             14.00          0.263690          0.115900          0.265170          0.160420          0.229470          0.160760
             15.00          0.267790          0.120250          0.270810          0.166120          0.235130          0.166520
             16.00          0.273000          0.125300          0.277560          0.172540          0.241800          0.172940
             17.00          0.279320          0.131020          0.285400          0.179640          0.249450          0.179970
             18.00          0.286760          0.137390          0.294270          0.187350          0.258000          0.187510
             19.00          0.295240          0.144370          0.304070          0.195590          0.267340          0.195480
             20.00          0.304700          0.151900          0.314660          0.204250          0.277340          0.203770
             21.00          0.315020          0.159950          0.325900          0.213240          0.287820          0.212250
             22.00          0.326080          0.168450          0.337610          0.222460          0.298610          0.220820
             23.00          0.337740          0.177370          0.349600          0.231820          0.309530          0.229380
