            angle	Ex=2.938(p:Menet,d:DCV)	Ex=2.938(p:KD,d:DCV)	Ex=2.938(p:Varmar,d:DCV)	Ex=2.938(p:BG,d:DCV(re))	Ex=2.938(p:Menet,d:LH)	Ex=2.938(p:Menet,d:DCV(nonREL))	Ex=2.938(p:Menet,d:AC)	Ex=2.938(p:Menet,d:Custom)	
             5.00	        35.565000	        39.243000	        38.869000	        38.143000	        26.059000	        35.323000	        35.045000	        16.242000	
             5.10	        35.333000	        38.999000	        38.624000	        37.903000	        25.871000	        35.092000	        34.815000	        16.112000	
             5.20	        35.099000	        38.750000	        38.376000	        37.659000	        25.680000	        34.858000	        34.582000	        15.981000	
             5.30	        34.861000	        38.498000	        38.124000	        37.411000	        25.487000	        34.620000	        34.346000	        15.848000	
             5.40	        34.620000	        38.243000	        37.869000	        37.161000	        25.291000	        34.380000	        34.106000	        15.713000	
             5.50	        34.377000	        37.985000	        37.611000	        36.907000	        25.093000	        34.136000	        33.864000	        15.577000	
             5.60	        34.130000	        37.724000	        37.350000	        36.651000	        24.893000	        33.890000	        33.619000	        15.439000	
             5.70	        33.880000	        37.459000	        37.086000	        36.391000	        24.691000	        33.641000	        33.370000	        15.300000	
             5.80	        33.628000	        37.192000	        36.819000	        36.128000	        24.486000	        33.389000	        33.119000	        15.159000	
             5.90	        33.373000	        36.921000	        36.549000	        35.863000	        24.279000	        33.134000	        32.866000	        15.017000	
             6.00	        33.115000	        36.648000	        36.276000	        35.594000	        24.071000	        32.877000	        32.610000	        14.874000	
             6.10	        32.855000	        36.372000	        36.000000	        35.323000	        23.860000	        32.617000	        32.351000	        14.729000	
             6.20	        32.592000	        36.093000	        35.721000	        35.050000	        23.648000	        32.354000	        32.090000	        14.584000	
             6.30	        32.327000	        35.812000	        35.440000	        34.774000	        23.433000	        32.090000	        31.826000	        14.437000	
             6.40	        32.060000	        35.528000	        35.157000	        34.495000	        23.217000	        31.823000	        31.560000	        14.289000	
             6.50	        31.790000	        35.242000	        34.871000	        34.214000	        22.999000	        31.553000	        31.292000	        14.140000	
             6.60	        31.518000	        34.953000	        34.583000	        33.931000	        22.780000	        31.282000	        31.022000	        13.990000	
             6.70	        31.244000	        34.662000	        34.292000	        33.645000	        22.559000	        31.008000	        30.750000	        13.839000	
             6.80	        30.968000	        34.369000	        33.999000	        33.358000	        22.337000	        30.733000	        30.475000	        13.688000	
             6.90	        30.690000	        34.074000	        33.705000	        33.068000	        22.113000	        30.455000	        30.199000	        13.535000	
             7.00	        30.411000	        33.777000	        33.408000	        32.776000	        21.888000	        30.176000	        29.921000	        13.382000	
             7.10	        30.129000	        33.478000	        33.109000	        32.483000	        21.661000	        29.895000	        29.642000	        13.228000	
             7.20	        29.846000	        33.177000	        32.808000	        32.188000	        21.434000	        29.613000	        29.360000	        13.073000	
             7.30	        29.561000	        32.874000	        32.506000	        31.890000	        21.205000	        29.328000	        29.077000	        12.917000	
             7.40	        29.275000	        32.569000	        32.202000	        31.592000	        20.975000	        29.042000	        28.793000	        12.761000	
             7.50	        28.987000	        32.263000	        31.896000	        31.291000	        20.744000	        28.755000	        28.507000	        12.605000	
             7.60	        28.698000	        31.956000	        31.589000	        30.990000	        20.512000	        28.467000	        28.220000	        12.448000	
             7.70	        28.408000	        31.646000	        31.280000	        30.687000	        20.280000	        28.177000	        27.931000	        12.290000	
             7.80	        28.117000	        31.336000	        30.971000	        30.382000	        20.046000	        27.886000	        27.642000	        12.133000	
             7.90	        27.824000	        31.024000	        30.659000	        30.076000	        19.812000	        27.594000	        27.351000	        11.974000	
             8.00	        27.530000	        30.711000	        30.347000	        29.770000	        19.577000	        27.301000	        27.059000	        11.816000	
             8.10	        27.235000	        30.397000	        30.033000	        29.462000	        19.342000	        27.006000	        26.767000	        11.657000	
             8.20	        26.940000	        30.082000	        29.719000	        29.153000	        19.106000	        26.711000	        26.473000	        11.498000	
             8.30	        26.644000	        29.766000	        29.403000	        28.843000	        18.870000	        26.416000	        26.179000	        11.339000	
             8.40	        26.347000	        29.450000	        29.087000	        28.532000	        18.633000	        26.119000	        25.884000	        11.180000	
             8.50	        26.049000	        29.132000	        28.770000	        28.221000	        18.396000	        25.822000	        25.588000	        11.021000	
             8.60	        25.751000	        28.814000	        28.452000	        27.909000	        18.159000	        25.524000	        25.292000	        10.862000	
             8.70	        25.452000	        28.495000	        28.134000	        27.596000	        17.921000	        25.226000	        24.995000	        10.703000	
             8.80	        25.153000	        28.175000	        27.815000	        27.283000	        17.684000	        24.928000	        24.698000	        10.544000	
             8.90	        24.853000	        27.855000	        27.495000	        26.970000	        17.446000	        24.629000	        24.401000	        10.385000	
             9.00	        24.553000	        27.535000	        27.176000	        26.656000	        17.209000	        24.329000	        24.104000	        10.227000	
             9.10	        24.254000	        27.214000	        26.856000	        26.342000	        16.971000	        24.030000	        23.806000	        10.068000	
             9.20	        23.953000	        26.894000	        26.536000	        26.027000	        16.734000	        23.731000	        23.508000	         9.910400	
             9.30	        23.653000	        26.573000	        26.215000	        25.713000	        16.497000	        23.431000	        23.210000	         9.752700	
             9.40	        23.353000	        26.252000	        25.895000	        25.398000	        16.260000	        23.132000	        22.913000	         9.595400	
             9.50	        23.054000	        25.930000	        25.574000	        25.084000	        16.023000	        22.833000	        22.615000	         9.438500	
             9.60	        22.754000	        25.610000	        25.254000	        24.769000	        15.787000	        22.534000	        22.318000	         9.282000	
             9.70	        22.454000	        25.289000	        24.934000	        24.455000	        15.551000	        22.235000	        22.021000	         9.126100	
             9.80	        22.155000	        24.968000	        24.614000	        24.141000	        15.316000	        21.937000	        21.724000	         8.970800	
             9.90	        21.857000	        24.648000	        24.295000	        23.828000	        15.082000	        21.639000	        21.428000	         8.816100	
            10.00	        21.558000	        24.328000	        23.976000	        23.515000	        14.848000	        21.341000	        21.132000	         8.661900	
            10.10	        21.261000	        24.009000	        23.657000	        23.202000	        14.614000	        21.044000	        20.837000	         8.508500	
            10.20	        20.964000	        23.690000	        23.339000	        22.890000	        14.382000	        20.748000	        20.542000	         8.355800	
            10.30	        20.667000	        23.372000	        23.021000	        22.578000	        14.150000	        20.452000	        20.248000	         8.203900	
            10.40	        20.372000	        23.054000	        22.705000	        22.268000	        13.919000	        20.157000	        19.955000	         8.052800	
            10.50	        20.077000	        22.738000	        22.389000	        21.958000	        13.690000	        19.863000	        19.663000	         7.902500	
            10.60	        19.783000	        22.422000	        22.073000	        21.648000	        13.461000	        19.570000	        19.371000	         7.753000	
            10.70	        19.490000	        22.107000	        21.759000	        21.340000	        13.233000	        19.278000	        19.081000	         7.604500	
            10.80	        19.198000	        21.792000	        21.446000	        21.033000	        13.006000	        18.987000	        18.792000	         7.457000	
            10.90	        18.908000	        21.479000	        21.133000	        20.726000	        12.780000	        18.697000	        18.503000	         7.310400	
            11.00	        18.618000	        21.167000	        20.822000	        20.421000	        12.556000	        18.408000	        18.216000	         7.164900	
            11.10	        18.329000	        20.856000	        20.512000	        20.117000	        12.332000	        18.120000	        17.931000	         7.020400	
            11.20	        18.042000	        20.547000	        20.203000	        19.814000	        12.110000	        17.834000	        17.646000	         6.877000	
            11.30	        17.756000	        20.238000	        19.896000	        19.512000	        11.890000	        17.549000	        17.363000	         6.734700	
            11.40	        17.472000	        19.931000	        19.590000	        19.212000	        11.671000	        17.265000	        17.081000	         6.593600	
            11.50	        17.189000	        19.626000	        19.285000	        18.913000	        11.453000	        16.983000	        16.800000	         6.453600	
            11.60	        16.907000	        19.322000	        18.982000	        18.616000	        11.236000	        16.702000	        16.522000	         6.314900	
            11.70	        16.627000	        19.019000	        18.680000	        18.320000	        11.021000	        16.423000	        16.244000	         6.177400	
            11.80	        16.348000	        18.718000	        18.380000	        18.026000	        10.808000	        16.145000	        15.969000	         6.041200	
            11.90	        16.072000	        18.418000	        18.081000	        17.733000	        10.596000	        15.869000	        15.695000	         5.906300	
            12.00	        15.797000	        18.120000	        17.784000	        17.442000	        10.386000	        15.595000	        15.422000	         5.772700	
            12.10	        15.523000	        17.824000	        17.489000	        17.153000	        10.178000	        15.323000	        15.152000	         5.640400	
            12.20	        15.252000	        17.530000	        17.196000	        16.865000	         9.971400	        15.052000	        14.883000	         5.509600	
            12.30	        14.982000	        17.238000	        16.904000	        16.579000	         9.766600	        14.783000	        14.616000	         5.380100	
            12.40	        14.714000	        16.947000	        16.615000	        16.296000	         9.563500	        14.516000	        14.351000	         5.252100	
            12.50	        14.448000	        16.658000	        16.327000	        16.014000	         9.362200	        14.251000	        14.088000	         5.125600	
            12.60	        14.184000	        16.372000	        16.041000	        15.734000	         9.162900	        13.988000	        13.827000	         5.000500	
            12.70	        13.923000	        16.087000	        15.758000	        15.456000	         8.965400	        13.728000	        13.568000	         4.876900	
            12.80	        13.663000	        15.805000	        15.476000	        15.180000	         8.769800	        13.469000	        13.311000	         4.754800	
            12.90	        13.405000	        15.524000	        15.197000	        14.906000	         8.576300	        13.212000	        13.057000	         4.634200	
            13.00	        13.150000	        15.246000	        14.920000	        14.635000	         8.384700	        12.958000	        12.804000	         4.515200	
            13.10	        12.897000	        14.970000	        14.645000	        14.365000	         8.195200	        12.705000	        12.554000	         4.397800	
            13.20	        12.646000	        14.696000	        14.372000	        14.098000	         8.007700	        12.455000	        12.306000	         4.282000	
            13.30	        12.397000	        14.425000	        14.102000	        13.833000	         7.822300	        12.208000	        12.060000	         4.167800	
            13.40	        12.150000	        14.156000	        13.834000	        13.571000	         7.639100	        11.962000	        11.816000	         4.055200	
            13.50	        11.906000	        13.889000	        13.568000	        13.310000	         7.457900	        11.719000	        11.575000	         3.944200	
            13.60	        11.665000	        13.625000	        13.305000	        13.053000	         7.279000	        11.478000	        11.336000	         3.834900	
            13.70	        11.425000	        13.363000	        13.044000	        12.797000	         7.102200	        11.240000	        11.100000	         3.727200	
            13.80	        11.188000	        13.103000	        12.786000	        12.544000	         6.927600	        11.004000	        10.866000	         3.621300	
            13.90	        10.954000	        12.846000	        12.530000	        12.294000	         6.755300	        10.771000	        10.635000	         3.517000	
            14.00	        10.722000	        12.592000	        12.277000	        12.046000	         6.585200	        10.540000	        10.406000	         3.414400	
            14.10	        10.493000	        12.340000	        12.026000	        11.800000	         6.417400	        10.312000	        10.180000	         3.313500	
            14.20	        10.266000	        12.091000	        11.778000	        11.557000	         6.251900	        10.086000	         9.955800	         3.214400	
            14.30	        10.042000	        11.844000	        11.533000	        11.317000	         6.088600	         9.862800	         9.734500	         3.116900	
            14.40	         9.819900	        11.600000	        11.290000	        11.079000	         5.927700	         9.642200	         9.515900	         3.021200	
            14.50	         9.600800	        11.359000	        11.050000	        10.844000	         5.769200	         9.424300	         9.299900	         2.927200	
            14.60	         9.384400	        11.120000	        10.812000	        10.612000	         5.613000	         9.209000	         9.086500	         2.835000	
            14.70	         9.170700	        10.884000	        10.578000	        10.382000	         5.459100	         8.996400	         8.875800	         2.744600	
            14.80	         8.959600	        10.651000	        10.346000	        10.155000	         5.307600	         8.786400	         8.667800	         2.655800	
            14.90	         8.751200	        10.421000	        10.117000	         9.930500	         5.158600	         8.579200	         8.462500	         2.568900	
            15.00	         8.545600	        10.193000	         9.890100	         9.709000	         5.011900	         8.374600	         8.259900	         2.483700	
            15.10	         8.342600	         9.968200	         9.666600	         9.490200	         4.867600	         8.172900	         8.060100	         2.400200	
            15.20	         8.142500	         9.746200	         9.445900	         9.274100	         4.725700	         7.973800	         7.863000	         2.318600	
            15.30	         7.945000	         9.527000	         9.228000	         9.060900	         4.586300	         7.777600	         7.668600	         2.238700	
            15.40	         7.750400	         9.310600	         9.013000	         8.850400	         4.449200	         7.584100	         7.477000	         2.160500	
            15.50	         7.558500	         9.097200	         8.800800	         8.642800	         4.314600	         7.393400	         7.288200	         2.084100	
            15.60	         7.369400	         8.886500	         8.591500	         8.438000	         4.182500	         7.205400	         7.102200	         2.009500	
            15.70	         7.183100	         8.678800	         8.385100	         8.236100	         4.052700	         7.020300	         6.918900	         1.936600	
            15.80	         6.999600	         8.474000	         8.181700	         8.036900	         3.925400	         6.838000	         6.738500	         1.865500	
            15.90	         6.818900	         8.272100	         7.981100	         7.840700	         3.800600	         6.658600	         6.560900	         1.796200	
            16.00	         6.641000	         8.073000	         7.783400	         7.647300	         3.678200	         6.481900	         6.386100	         1.728600	
            16.10	         6.466000	         7.876900	         7.588700	         7.456800	         3.558200	         6.308100	         6.214100	         1.662700	
            16.20	         6.293700	         7.683700	         7.396900	         7.269100	         3.440600	         6.137100	         6.045000	         1.598500	
            16.30	         6.124300	         7.493500	         7.208000	         7.084300	         3.325500	         5.968900	         5.878600	         1.536100	
            16.40	         5.957700	         7.306100	         7.022000	         6.902400	         3.212800	         5.803500	         5.715100	         1.475500	
            16.50	         5.794000	         7.121700	         6.839000	         6.723400	         3.102600	         5.641000	         5.554400	         1.416500	
            16.60	         5.633100	         6.940200	         6.659000	         6.547200	         2.994700	         5.481300	         5.396600	         1.359200	
            16.70	         5.475000	         6.761700	         6.481800	         6.373900	         2.889300	         5.324500	         5.241500	         1.303600	
            16.80	         5.319700	         6.586100	         6.307600	         6.203500	         2.786200	         5.170500	         5.089300	         1.249800	
            16.90	         5.167200	         6.413400	         6.136400	         6.036000	         2.685600	         5.019300	         4.939900	         1.197500	
            17.00	         5.017500	         6.243600	         5.968100	         5.871400	         2.587300	         4.870900	         4.793200	         1.147000	
            17.10	         4.870700	         6.076800	         5.802700	         5.709600	         2.491500	         4.725300	         4.649400	         1.098100	
            17.20	         4.726600	         5.912800	         5.640200	         5.550700	         2.398000	         4.582500	         4.508400	         1.050900	
            17.30	         4.585300	         5.751800	         5.480600	         5.394600	         2.306800	         4.442500	         4.370200	         1.005300	
            17.40	         4.446800	         5.593700	         5.324000	         5.241400	         2.218000	         4.305400	         4.234700	         0.961260	
            17.50	         4.311100	         5.438500	         5.170300	         5.091000	         2.131500	         4.170900	         4.102000	         0.918870	
            17.60	         4.178200	         5.286200	         5.019400	         4.943400	         2.047400	         4.039300	         3.972000	         0.878060	
            17.70	         4.048000	         5.136700	         4.871400	         4.798700	         1.965500	         3.910400	         3.844800	         0.838830	
