#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.780
   Angel	  Ex=0.000(1g9/2)AK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)AM  Ex=0.000(1g9/2)AG  Ex=0.000(1g9/2)AP  Ex=0.000(1g9/2)HK  Ex=0.000(1g9/2)HV  Ex=0.000(1g9/2)HM  Ex=0.000(1g9/2)HG  Ex=0.000(1g9/2)HP  Ex=0.000(1g9/2)BK  Ex=0.000(1g9/2)BV  Ex=0.000(1g9/2)BM  Ex=0.000(1g9/2)BG  Ex=0.000(1g9/2)BP  Ex=0.000(1g9/2)DK  Ex=0.000(1g9/2)DV  Ex=0.000(1g9/2)DM  Ex=0.000(1g9/2)DG  Ex=0.000(1g9/2)DP  Ex=0.000(1g9/2)LK  Ex=0.000(1g9/2)LV  Ex=0.000(1g9/2)LM  Ex=0.000(1g9/2)LG  Ex=0.000(1g9/2)LP  Ex=0.000(1g9/2)QK  Ex=0.000(1g9/2)QV  Ex=0.000(1g9/2)QM  Ex=0.000(1g9/2)QG  Ex=0.000(1g9/2)QP
   0.500	           0.310700           0.068116           0.197500           2.677200           0.581280           0.238050           0.264760           0.234610           2.557500           0.489010           0.247050           0.130970           0.053209           1.823400           0.440100           0.335290           0.273250           0.180780           2.545800           0.595560           0.237660           0.116750           0.120150           1.167000           0.208080           0.160830           0.068116           0.021311           1.488800           0.291560
   1.000	           0.311350           0.068768           0.197130           2.675700           0.582150           0.238610           0.264850           0.234220           2.556400           0.489830           0.248550           0.131960           0.053489           1.823900           0.441960           0.335760           0.273280           0.180390           2.544000           0.596170           0.240180           0.118700           0.121470           1.169400           0.210850           0.161890           0.068768           0.021518           1.488600           0.292820
   1.500	           0.312440           0.069864           0.196520           2.673300           0.583610           0.239570           0.264990           0.233580           2.554500           0.491220           0.251070           0.133620           0.053965           1.824900           0.445080           0.336560           0.273340           0.179750           2.541100           0.597220           0.244370           0.121940           0.123690           1.173400           0.215490           0.163670           0.069864           0.021870           1.488200           0.294920
   2.000	           0.314000           0.071418           0.195700           2.670000           0.585690           0.240930           0.265220           0.232690           2.552000           0.493200           0.254610           0.135960           0.054652           1.826300           0.449480           0.337710           0.273460           0.178870           2.537200           0.598710           0.250230           0.126480           0.126780           1.179100           0.221970           0.166180           0.071418           0.022381           1.487700           0.297890
   2.500	           0.316060           0.073452           0.194680           2.665900           0.588420           0.242720           0.265560           0.231580           2.548900           0.495780           0.259200           0.139010           0.055573           1.828200           0.455170           0.339240           0.273660           0.177790           2.532200           0.600690           0.257770           0.132320           0.130760           1.186500           0.230300           0.169440           0.073452           0.023067           1.487100           0.301760
   3.000	           0.318640           0.075991           0.193500           2.661200           0.591850           0.244960           0.266020           0.230260           2.545200           0.499010           0.264870           0.142790           0.056753           1.830800           0.462200           0.341190           0.273990           0.176540           2.526400           0.603210           0.266950           0.139440           0.135610           1.195600           0.240480           0.173480           0.075991           0.023949           1.486700           0.306550
   3.500	           0.321790           0.079066           0.192190           2.655800           0.596020           0.247680           0.266640           0.228770           2.541100           0.502920           0.271650           0.147350           0.058226           1.834100           0.470600           0.343610           0.274480           0.175140           2.519800           0.606320           0.277790           0.147850           0.141340           1.206700           0.252500           0.178330           0.079066           0.025053           1.486400           0.312300
   4.000	           0.325570           0.082713           0.190790           2.650000           0.601000           0.250920           0.267460           0.227130           2.536700           0.507550           0.279580           0.152730           0.060028           1.838200           0.480420           0.346550           0.275190           0.173650           2.512600           0.610090           0.290250           0.157540           0.147930           1.219600           0.266360           0.184030           0.082713           0.026408           1.486400           0.319060
   4.500	           0.330020           0.086972           0.189350           2.644000           0.606840           0.254720           0.268530           0.225380           2.532100           0.512970           0.288710           0.158970           0.062202           1.843400           0.491700           0.350070           0.276190           0.172110           2.504900           0.614570           0.304340           0.168500           0.155380           1.234600           0.282050           0.190610           0.086972           0.028048           1.486900           0.326870
   5.000	           0.335210           0.091887           0.187930           2.637900           0.613630           0.259140           0.269890           0.223560           2.527600           0.519230           0.299070           0.166120           0.064795           1.849700           0.504500           0.354240           0.277530           0.170590           2.497000           0.619870           0.320010           0.180730           0.163680           1.251800           0.299560           0.198120           0.091887           0.030009           1.487900           0.335790
