#206Hg(d,p)207Hg(9/2+ 0.000) ELAB= 14.760
#206Hg(d,p)207Hg(5/2+ 1.200) ELAB= 14.760
   Angel	  Ex=0.000(1g9/2)AK  Ex=1.200(2d5/2)AK
   1.000	           0.373940           3.764500
   2.000	           0.376410           3.794200
   3.000	           0.380760           3.841900
   4.000	           0.387340           3.905200
   5.000	           0.396600           3.980200
   6.000	           0.409120           4.062400
   7.000	           0.425550           4.146500
   8.000	           0.446590           4.226300
   9.000	           0.472970           4.295900
  10.000	           0.505440           4.349600
  11.000	           0.544690           4.382600
  12.000	           0.591350           4.391800
  13.000	           0.645920           4.376000
  14.000	           0.708770           4.336500
  15.000	           0.780060           4.276600
  16.000	           0.859730           4.202100
  17.000	           0.947480           4.120800
  18.000	           1.042700           4.041500
  19.000	           1.144700           3.973900
  20.000	           1.252300           3.927400
  21.000	           1.364200           3.911100
  22.000	           1.479200           3.932500
  23.000	           1.595600           3.997600
  24.000	           1.711900           4.110700
  25.000	           1.826800           4.274200
  26.000	           1.938600           4.488800
  27.000	           2.046300           4.753700
  28.000	           2.148800           5.066600
  29.000	           2.245100           5.424200
  30.000	           2.334700           5.822000
  31.000	           2.417000           6.254300
  32.000	           2.491900           6.714800
  33.000	           2.559300           7.195900
  34.000	           2.619200           7.689200
  35.000	           2.671900           8.185400
  36.000	           2.717700           8.674700
  37.000	           2.756900           9.146800
  38.000	           2.790200           9.591400
  39.000	           2.817800           9.998900
  40.000	           2.840400          10.360000
  41.000	           2.858500          10.669000
  42.000	           2.872600          10.918000
  43.000	           2.883200          11.106000
  44.000	           2.890800          11.230000
  45.000	           2.895700          11.294000
  46.000	           2.898300          11.299000
  47.000	           2.898800          11.253000
  48.000	           2.897400          11.163000
  49.000	           2.894400          11.036000
  50.000	           2.889600          10.882000
  51.000	           2.883300          10.711000
  52.000	           2.875300          10.529000
  53.000	           2.865700          10.347000
  54.000	           2.854500          10.169000
  55.000	           2.841600          10.001000
  56.000	           2.827000           9.845800
  57.000	           2.810900           9.706300
  58.000	           2.793200           9.582400
  59.000	           2.774100           9.473000
  60.000	           2.753800           9.375900
  61.000	           2.732300           9.288000
  62.000	           2.709800           9.205600
  63.000	           2.686500           9.124800
  64.000	           2.662500           9.041500
  65.000	           2.637900           8.952100
  66.000	           2.612800           8.853200
  67.000	           2.587000           8.742200
  68.000	           2.560700           8.617000
  69.000	           2.533700           8.476400
  70.000	           2.505800           8.320000
  71.000	           2.476800           8.148100
  72.000	           2.446600           7.961800
  73.000	           2.414700           7.762500
  74.000	           2.381100           7.552400
  75.000	           2.345400           7.334000
  76.000	           2.307400           7.109800
  77.000	           2.266900           6.882600
  78.000	           2.223800           6.655300
  79.000	           2.177900           6.430600
  80.000	           2.129400           6.211000
  81.000	           2.078300           5.998800
  82.000	           2.024800           5.795900
  83.000	           1.969200           5.604000
  84.000	           1.911800           5.424300
  85.000	           1.853100           5.257800
  86.000	           1.793600           5.104700
  87.000	           1.733800           4.965300
  88.000	           1.674300           4.839300
  89.000	           1.615800           4.725900
  90.000	           1.558800           4.624400
  91.000	           1.504000           4.533500
  92.000	           1.451700           4.452000
  93.000	           1.402500           4.378300
  94.000	           1.356800           4.310900
  95.000	           1.314900           4.248100
  96.000	           1.277000           4.188400
  97.000	           1.243100           4.130300
