            angle	Ex=0.000(1g9/2)AK	Ex=1.200(2d5/2)AK	
              0.00          0.373140          3.754500
              0.50          0.373340          3.757000
              1.00          0.373940          3.764500
              1.50          0.374960          3.777000
              2.00          0.376410          3.794200
              2.50          0.378330          3.816000
              3.00          0.380760          3.841900
              3.50          0.383740          3.871800
              4.00          0.387340          3.905200
              4.50          0.391600          3.941500
              5.00          0.396600          3.980200
              5.50          0.402420          4.020700
              6.00          0.409120          4.062400
              6.50          0.416800          4.104600
              7.00          0.425550          4.146500
              7.50          0.435440          4.187300
              8.00          0.446590          4.226300
              8.50          0.459060          4.262800
              9.00          0.472970          4.295900
              9.50          0.488400          4.325000
             10.00          0.505440          4.349600
             10.50          0.524180          4.368900
             11.00          0.544690          4.382600
             11.50          0.567060          4.390300
             12.00          0.591350          4.391800
             12.50          0.617620          4.387000
             13.00          0.645920          4.376000
             13.50          0.676300          4.359100
             14.00          0.708770          4.336500
             14.50          0.743360          4.308700
             15.00          0.780060          4.276600
             15.50          0.818860          4.240700
             16.00          0.859730          4.202100
             16.50          0.902620          4.161800
             17.00          0.947480          4.120800
             17.50          0.994210          4.080300
             18.00          1.042700          4.041500
             18.50          1.092900          4.005600
             19.00          1.144700          3.973900
             19.50          1.197800          3.947400
             20.00          1.252300          3.927400
             20.50          1.307800          3.915000
             21.00          1.364200          3.911100
             21.50          1.421400          3.916700
             22.00          1.479200          3.932500
             22.50          1.537300          3.959200
             23.00          1.595600          3.997600
             23.50          1.653800          4.047900
             24.00          1.711900          4.110700
             24.50          1.769600          4.186000
             25.00          1.826800          4.274200
             25.50          1.883100          4.375100
             26.00          1.938600          4.488800
             26.50          1.993100          4.615100
             27.00          2.046300          4.753700
             27.50          2.098300          4.904300
             28.00          2.148800          5.066600
             28.50          2.197800          5.240100
             29.00          2.245100          5.424200
             29.50          2.290800          5.618400
             30.00          2.334700          5.822000
             30.50          2.376800          6.034200
             31.00          2.417000          6.254300
             31.50          2.455400          6.481500
             32.00          2.491900          6.714800
             32.50          2.526500          6.953200
             33.00          2.559300          7.195900
             33.50          2.590200          7.441600
             34.00          2.619200          7.689200
             34.50          2.646400          7.937500
             35.00          2.671900          8.185400
             35.50          2.695600          8.431600
             36.00          2.717700          8.674700
             36.50          2.738100          8.913600
             37.00          2.756900          9.146800
             37.50          2.774300          9.373200
             38.00          2.790200          9.591400
             38.50          2.804600          9.800400
             39.00          2.817800          9.998900
             39.50          2.829700         10.186000
             40.00          2.840400         10.360000
             40.50          2.850000         10.522000
             41.00          2.858500         10.669000
             41.50          2.866000         10.801000
             42.00          2.872600         10.918000
             42.50          2.878300         11.020000
             43.00          2.883200         11.106000
             43.50          2.887400         11.176000
             44.00          2.890800         11.230000
             44.50          2.893600         11.270000
             45.00          2.895700         11.294000
             45.50          2.897300         11.303000
             46.00          2.898300         11.299000
             46.50          2.898800         11.282000
             47.00          2.898800         11.253000
             47.50          2.898300         11.213000
             48.00          2.897400         11.163000
             48.50          2.896100         11.103000
             49.00          2.894400         11.036000
             49.50          2.892200         10.962000
